,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,cotton_area,Corn_area,SORGHUM_ACRES,precipitation_cm_x,CO2,N2O
509,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MONROE,99,16673,1317,0,148.0,2972.533151,32188.59894
525,COUNTY,ARKANSAS,5,EAST CENTRAL,60,MONROE,95,2959,26601,1696,128.4,4298.421756,79390.65053
541,COUNTY,GEORGIA,13,CENTRAL,50,MONROE,207,0,86,0,128.7,11.79812958,0.934205939
557,COUNTY,MISSISSIPPI,28,EAST CENTRAL,60,MONROE,95,7266,9623,0,149.9,2536.831528,16344.23812
573,COUNTY,MISSOURI,29,NORTHEAST,30,MONROE,137,0,64428,203,107.1,8857.106695,459526.5714
589,COUNTY,TENNESSEE,47,EAST TENNESSEE,60,MONROE,123,0,3698,0,137.6,507.3195719,1518.576383
605,COUNTY,ILLINOIS,17,SOUTHWEST,80,MONROE,133,0,49625,814,99.6,6479.847492,272648.7783
621,COUNTY,INDIANA,18,SOUTH CENTRAL,80,MONROE,105,0,4854,0,106.0,665.9083835,2614.349751
637,COUNTY,IOWA,19,SOUTH CENTRAL,80,MONROE,135,0,29729,0,86.4,3840.020194,97862.63491
653,COUNTY,KENTUCKY,21,CENTRAL,30,MONROE,171,0,4074,0,124.2,558.9020919,1842.526136
669,COUNTY,MICHIGAN,26,SOUTHEAST,90,MONROE,115,0,60372,0,83.3,7798.099471,403494.3047
685,COUNTY,NEW YORK,36,WESTERN,40,MONROE,55,0,21922,0,106.2,3007.425542,53220.60406
701,COUNTY,OHIO,39,SOUTHEAST,90,MONROE,111,0,768,0,99.3,99.20062933,66.31550928
717,COUNTY,PENNSYLVANIA,42,EAST CENTRAL,60,MONROE,89,0,1696,0,108.9,232.6700903,320.6485958
733,COUNTY,WEST VIRGINIA,54,EASTERN,60,MONROE,63,0,466,0,114.7,63.92939982,24.66174835
749,COUNTY,WISCONSIN,55,WEST CENTRAL,40,MONROE,81,0,48953,0,82.9,6323.135947,265304.9054
765,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WASHINGTON,129,3800,832,0,148.0,750.4416784,1743.636122
795,COUNTY,ARKANSAS,5,NORTHWEST,10,WASHINGTON,143,0,0,0,128.4,0.0,0.0
825,COUNTY,FLORIDA,12,NORTHWEST,10,WASHINGTON,133,1794,466,0,138.5,364.3307502,397.2363087
855,COUNTY,GEORGIA,13,CENTRAL,50,WASHINGTON,303,3662,3408,0,128.7,1080.729019,2837.378246
885,COUNTY,KANSAS,20,NORTH CENTRAL,40,WASHINGTON,201,0,85269,17043,73.3,12477.73308,809174.6209
915,COUNTY,LOUISIANA,22,EAST CENTRAL,60,WASHINGTON,117,0,2222,0,152.8,322.6513325,549.457633
945,COUNTY,MISSISSIPPI,28,LOWER DELTA,40,WASHINGTON,151,22758,50546,0,149.9,10745.05906,342449.4959
975,COUNTY,MISSOURI,29,EAST,60,WASHINGTON,221,0,153,0,107.1,20.98969565,2.79662377
1005,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,WASHINGTON,187,7788,21094,0,127.9,4197.917703,56263.65236
1035,COUNTY,OKLAHOMA,40,NORTHEAST,70,WASHINGTON,147,0,0,0,92.7,0.0,0.0
1065,COUNTY,TENNESSEE,47,EAST TENNESSEE,60,WASHINGTON,179,0,1508,0,137.6,206.8788303,253.7260722
1095,COUNTY,TEXAS,48,SOUTH CENTRAL,81,WASHINGTON,477,0,46,0,73.4,5.941704361,0.296035763
1125,COUNTY,VIRGINIA,51,SOUTHWESTERN,70,WASHINGTON,191,0,340,0,112.5,46.64376811,13.25191234
1155,COUNTY,COLORADO,8,EAST CENTRAL,60,WASHINGTON,121,0,121491,19855,40.5,17397.94847,1639688.345
1185,COUNTY,IDAHO,16,SOUTHWEST,70,WASHINGTON,87,0,2256,0,48.1,291.4018486,566.3549654
1215,COUNTY,ILLINOIS,17,SOUTHWEST,80,WASHINGTON,189,0,116899,318,99.6,15126.86162,1512676.945
1245,COUNTY,INDIANA,18,SOUTH CENTRAL,80,WASHINGTON,175,0,45135,0,106.0,6191.960216,225539.5249
1275,COUNTY,IOWA,19,SOUTHEAST,90,WASHINGTON,183,0,116722,0,86.4,15076.68731,1508097.965
1305,COUNTY,KENTUCKY,21,BLUEGRASS,50,WASHINGTON,229,0,3692,0,124.2,506.4964466,1513.660656
1335,COUNTY,MARYLAND,24,NORTH CENTRAL,20,WASHINGTON,43,0,16652,344,113.1,2315.605427,30714.76768
1365,COUNTY,MINNESOTA,27,EAST CENTRAL,60,WASHINGTON,163,0,21650,0,69.3,2796.476074,51908.47559
1395,COUNTY,NEBRASKA,31,EAST,60,WASHINGTON,177,0,97790,0,59.9,12631.28847,1058575.29
1425,COUNTY,NEW YORK,36,EASTERN,60,WASHINGTON,115,0,5082,0,106.2,697.1871456,2865.397224
1455,COUNTY,OHIO,39,SOUTHEAST,90,WASHINGTON,167,0,10053,0,99.3,1298.520738,11199.39646
1485,COUNTY,OREGON,41,NORTHWEST,10,WASHINGTON,67,0,0,0,69.5,0.0,0.0
1515,COUNTY,PENNSYLVANIA,42,SOUTHWESTERN,70,WASHINGTON,125,0,2722,0,108.9,373.42452,823.7368362
1545,COUNTY,RHODE ISLAND,44,ALL COUNTIES,10,WASHINGTON,9,0,27,0,121.8,3.704063938,0.116980004
1575,COUNTY,UTAH,49,SOUTHERN,70,WASHINGTON,53,0,0,0,31.0,0.0,0.0
1605,COUNTY,VERMONT,50,ALL COUNTIES,10,WASHINGTON,23,0,52,0,108.5,7.133752769,0.369182061
1635,COUNTY,WISCONSIN,55,SOUTHEAST,90,WASHINGTON,131,0,29667,0,82.9,3832.01181,97454.95754
1665,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WILCOX,131,0,769,0,148.0,105.4972285,66.48697244
1667,COUNTY,GEORGIA,13,SOUTH CENTRAL,80,WILCOX,315,25013,588,0,128.7,4269.038064,72030.80582
1669,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,2494,301,0,148.0,458.9082628,729.1721058
1671,COUNTY,TENNESSEE,47,EAST TENNESSEE,60,BLOUNT,9,0,1249,0,137.6,171.347254,174.343661
1673,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,5804,416,0,148.0,1028.937044,3901.902757
1683,COUNTY,FLORIDA,12,NORTHWEST,10,CALHOUN,13,9000,32,0,138.5,1511.420188,9328.335731
1693,COUNTY,GEORGIA,13,SOUTHWEST,70,CALHOUN,37,20370,9331,1040,128.7,4785.208195,57409.44221
1703,COUNTY,MISSISSIPPI,28,NORTH CENTRAL,20,CALHOUN,13,9050,6416,0,149.9,2395.597918,13996.92129
1713,COUNTY,SOUTH CAROLINA,45,CENTRAL,50,CALHOUN,17,28785,12092,0,126.4,6478.856772,111535.881
1723,COUNTY,TEXAS,48,UPPER COAST,90,CALHOUN,57,11308,12298,9202,73.4,4181.631133,32740.29869
1733,COUNTY,ILLINOIS,17,WEST SOUTHWEST,60,CALHOUN,13,0,21639,0,99.6,2795.055232,51855.75613
1743,COUNTY,IOWA,19,WEST CENTRAL,40,CALHOUN,25,0,173126,0,86.4,22362.2502,3317676.088
1753,COUNTY,MICHIGAN,26,SOUTH CENTRAL,80,CALHOUN,25,0,69426,0,83.3,8967.58189,533579.5535
1763,COUNTY,WEST VIRGINIA,54,SOUTHWEST,40,CALHOUN,13,0,0,0,114.7,0.0,0.0
1773,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,29034,4486,0,148.0,5477.102744,99225.62484
1779,COUNTY,GEORGIA,13,NORTH CENTRAL,20,CHEROKEE,57,0,158,0,128.7,21.67563341,2.975455872
1785,COUNTY,KANSAS,20,SOUTHEAST,90,CHEROKEE,21,0,71164,2347,73.3,9393.648819,560711.0958
1791,COUNTY,NORTH CAROLINA,37,WESTERN MOUNTAIN,20,CHEROKEE,39,0,308,0,127.9,42.2537664,10.91378689
1797,COUNTY,SOUTH CAROLINA,45,NORTHWEST,10,CHEROKEE,21,0,396,0,126.4,54.32627109,17.8890752
1803,COUNTY,IOWA,19,NORTHWEST,10,CHEROKEE,35,0,145640,0,86.4,18811.95268,2347883.167
1809,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,0,4283,0,148.0,587.5742906,2036.126547
1810,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,1522,13662,0,148.0,2129.111902,20945.75057
1813,COUNTY,MISSOURI,29,NORTHWEST,10,DE KALB,63,0,33229,0,107.1,4558.605207,122256.5587
1816,COUNTY,TENNESSEE,47,CENTRAL BASIN,40,DE KALB,41,0,921,0,137.6,126.3497365,95.12340416
1819,COUNTY,ILLINOIS,17,NORTHEAST,20,DE KALB,37,0,202521,0,99.6,26159.12845,4539887.567
1822,COUNTY,INDIANA,18,NORTHEAST,30,DE KALB,33,0,40291,0,106.0,5527.423708,179732.2063
1825,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,55,2075,1068,0,148.0,493.9704886,625.6762027
1826,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,3815,19535,0,148.0,3318.772204,43943.55135
1849,COUNTY,ARKANSAS,5,NORTHEAST,30,JACKSON,67,0,10965,0,128.4,1504.261521,13322.23039
1872,COUNTY,FLORIDA,12,NORTHWEST,10,JACKSON,63,42605,4269,0,138.5,7719.767117,210850.7618
1895,COUNTY,GEORGIA,13,NORTH CENTRAL,20,JACKSON,157,0,34,0,128.7,4.664376811,0.173650586
1918,COUNTY,KANSAS,20,NORTHEAST,70,JACKSON,85,0,38948,354,73.3,5061.218802,167954.1194
1941,COUNTY,MISSISSIPPI,28,SOUTHEAST AND COASTAL,90,JACKSON,59,0,224,0,149.9,30.73001193,5.854697782
1964,COUNTY,MISSOURI,29,WEST,40,JACKSON,95,0,17741,0,107.1,2433.844382,34860.39542
1987,COUNTY,NORTH CAROLINA,37,WESTERN MOUNTAIN,20,JACKSON,99,0,0,0,127.9,0.0,0.0
2010,COUNTY,OKLAHOMA,40,SOUTHWEST,30,JACKSON,65,143950,0,4194,92.7,23309.82672,2383719.771
2033,COUNTY,TENNESSEE,47,CENTRAL BASIN,40,JACKSON,87,0,629,0,137.6,86.290971,44.63601192
2056,COUNTY,TEXAS,48,UPPER COAST,90,JACKSON,239,39488,89140,6330,73.4,18353.12872,1059589.701
2079,COUNTY,COLORADO,8,NORTHWEST AND MOUNTAIN,10,JACKSON,57,0,0,0,40.5,0.0,0.0
2102,COUNTY,ILLINOIS,17,SOUTHWEST,80,JACKSON,77,0,30908,1656,99.6,4134.53545,105819.7207
2125,COUNTY,INDIANA,18,SOUTH CENTRAL,80,JACKSON,71,0,56778,0,106.0,7789.234899,356888.0383
2148,COUNTY,IOWA,19,EAST CENTRAL,60,JACKSON,97,0,110188,0,86.4,14232.70696,1343988.005
2171,COUNTY,KENTUCKY,21,EASTERN OR MOUNTAIN,60,JACKSON,109,0,117,0,124.2,16.05094373,1.672399991
2194,COUNTY,MICHIGAN,26,SOUTH CENTRAL,80,JACKSON,75,0,44352,0,83.3,5728.836344,217783.136
2217,COUNTY,MINNESOTA,27,SOUTHWEST,70,JACKSON,63,0,159138,0,69.3,20555.4554,2803237.289
2240,COUNTY,OHIO,39,SOUTH CENTRAL,80,JACKSON,79,0,1608,0,99.3,207.7013177,288.3491533
2263,COUNTY,OREGON,41,SOUTHWEST,70,JACKSON,29,0,17,0,69.5,2.195847264,0.054838053
2286,COUNTY,SOUTH DAKOTA,46,WEST CENTRAL,40,JACKSON,71,0,9895,0,51.1,1278.112275,10850.33677
2309,COUNTY,WEST VIRGINIA,54,SOUTHWEST,40,JACKSON,35,0,133,0,114.7,18.24594458,2.136636606
2332,COUNTY,WISCONSIN,55,WEST CENTRAL,40,JACKSON,53,0,44138,0,82.9,5701.194502,215686.8695
2355,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,0,3966,0,148.0,544.0858362,1746.273145
2367,COUNTY,KANSAS,20,NORTHEAST,70,MARSHALL,117,0,125072,4801,73.3,16567.57327,1731921.527
2379,COUNTY,MISSISSIPPI,28,NORTH CENTRAL,20,MARSHALL,93,2342,3713,0,149.9,901.5401292,2164.892721
2391,COUNTY,OKLAHOMA,40,SOUTH CENTRAL,60,MARSHALL,95,0,10,15,92.7,2.579961,0.047992862
2403,COUNTY,TENNESSEE,47,CENTRAL BASIN,40,MARSHALL,117,0,4820,0,137.6,661.2440067,2577.898807
2415,COUNTY,ILLINOIS,17,CENTRAL,40,MARSHALL,123,0,95980,0,99.6,12397.49532,1019753.884
2427,COUNTY,INDIANA,18,NORTH CENTRAL,20,MARSHALL,99,0,80176,0,106.0,10999.14927,711595.9668
2439,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,0,141425,0,86.4,18267.51172,2213954.013
2451,COUNTY,KENTUCKY,21,PURCHASE,10,MARSHALL,157,0,6859,0,124.2,940.9694278,5216.374983
2463,COUNTY,MINNESOTA,27,NORTHWEST,10,MARSHALL,89,0,55840,0,69.3,7212.712424,345194.7567
2475,COUNTY,SOUTH DAKOTA,46,NORTHEAST,30,MARSHALL,91,0,100584,0,51.1,12992.18242,1119925.587
2487,COUNTY,WEST VIRGINIA,54,NORTHWEST,20,MARSHALL,51,0,109,0,114.7,14.9534433,1.461532721
2499,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,COLBERT,33,5199,22148,0,148.0,3908.991033,57439.03899
2500,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,FRANKLIN,59,3262,1101,0,148.0,697.2582146,1363.850205
2524,COUNTY,ARKANSAS,5,WEST CENTRAL,40,FRANKLIN,47,0,628,0,128.4,86.15378344,44.49553986
2548,COUNTY,GEORGIA,13,NORTHEAST,30,FRANKLIN,119,0,221,0,128.7,30.31844927,5.702904159
2572,COUNTY,KANSAS,20,EAST CENTRAL,80,FRANKLIN,59,0,41776,675,73.3,5454.073776,193230.6531
2596,COUNTY,LOUISIANA,22,NORTHEAST,30,FRANKLIN,41,9223,73816,0,152.8,12336.98583,612982.0516
2620,COUNTY,MISSISSIPPI,28,SOUTHWEST,70,FRANKLIN,37,0,390,0,149.9,53.50314577,17.35903157
2644,COUNTY,MISSOURI,29,EAST,60,FRANKLIN,71,0,14334,533,107.1,2014.723623,22763.29836
2668,COUNTY,NORTH CAROLINA,37,NORTHERN PIEDMONT,40,FRANKLIN,69,0,1034,0,127.9,141.8519301,119.7267176
2692,COUNTY,TENNESSEE,47,CUMBERLAND PLATEAU,50,FRANKLIN,51,0,12107,0,137.6,1660.929707,16240.05252
2716,COUNTY,TEXAS,48,EAST TEXAS NORTH,51,FRANKLIN,159,0,0,0,73.4,0.0,0.0
2740,COUNTY,VIRGINIA,51,SOUTHERN,80,FRANKLIN,67,0,4660,58,112.5,644.5474308,2409.903321
2764,COUNTY,IDAHO,16,EAST,90,FRANKLIN,41,0,2318,0,48.1,299.4102328,597.8265302
2788,COUNTY,ILLINOIS,17,SOUTHEAST,90,FRANKLIN,55,0,37668,623,99.6,4918.987684,157102.1752
2812,COUNTY,INDIANA,18,SOUTHEAST,90,FRANKLIN,47,0,32691,0,106.0,4484.798303,118330.4854
2836,COUNTY,IOWA,19,NORTH CENTRAL,20,FRANKLIN,69,0,195225,0,86.4,25216.72247,4218682.169
2860,COUNTY,KENTUCKY,21,BLUEGRASS,50,FRANKLIN,73,0,850,0,124.2,116.6094203,81.11064117
2884,COUNTY,MAINE,23,SOUTH,30,FRANKLIN,7,0,0,0,107.2,0.0,0.0
2908,COUNTY,MASSACHUSETTS,25,ALL COUNTIES,10,FRANKLIN,11,0,612,0,121.1,83.95878259,42.27809257
2932,COUNTY,NEBRASKA,31,SOUTH,80,FRANKLIN,61,0,95304,754,59.9,12374.93595,1005450.249
2956,COUNTY,NEW YORK,36,NORTHEAST,30,FRANKLIN,33,0,4463,0,106.2,612.2680502,2210.61373
2980,COUNTY,OHIO,39,CENTRAL,50,FRANKLIN,49,0,12613,0,99.3,1629.189502,17625.1847
3004,COUNTY,PENNSYLVANIA,42,SOUTH CENTRAL,80,FRANKLIN,55,0,40821,936,108.9,5684.912645,184498.8109
3028,COUNTY,VERMONT,50,ALL COUNTIES,10,FRANKLIN,11,0,5527,0,108.5,758.2356068,3388.527976
3052,COUNTY,WASHINGTON,53,EAST CENTRAL,50,FRANKLIN,21,0,15422,0,97.6,1992.020971,26345.24158
3076,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,18354,15885,0,148.0,5252.561176,66719.36386
3079,COUNTY,MISSISSIPPI,28,SOUTHEAST AND COASTAL,90,LAUDERDALE,75,0,21,0,149.9,2.880938618,0.077038453
3082,COUNTY,TENNESSEE,47,DELTA,10,LAUDERDALE,97,20410,15587,0,137.6,5555.951959,74850.09855
3085,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAWRENCE,79,18804,22925,0,148.0,6293.71306,98893.51763
3096,COUNTY,ARKANSAS,5,NORTHEAST,30,LAWRENCE,75,0,6931,0,128.4,950.8469316,5326.366196
3107,COUNTY,MISSISSIPPI,28,SOUTH CENTRAL,80,LAWRENCE,77,0,0,0,149.9,0.0,0.0
3118,COUNTY,MISSOURI,29,SOUTHWEST,70,LAWRENCE,109,0,9355,0,107.1,1283.389561,9699.066415
3129,COUNTY,TENNESSEE,47,WESTERN RIM,30,LAWRENCE,99,0,25986,0,137.6,3564.955759,74775.73899
3140,COUNTY,ILLINOIS,17,EAST SOUTHEAST,70,LAWRENCE,101,0,94865,0,99.6,12253.47357,996200.0168
3151,COUNTY,INDIANA,18,SOUTH CENTRAL,80,LAWRENCE,93,0,19216,0,106.0,2636.196023,40895.85503
3162,COUNTY,KENTUCKY,21,EASTERN OR MOUNTAIN,60,LAWRENCE,127,0,33,0,124.2,4.527189257,0.164890693
3173,COUNTY,OHIO,39,SOUTH CENTRAL,80,LAWRENCE,87,0,882,0,99.3,113.9257227,87.28812091
3184,COUNTY,PENNSYLVANIA,42,WEST CENTRAL,40,LAWRENCE,73,0,13723,0,108.9,1882.624793,20862.25358
3195,COUNTY,SOUTH DAKOTA,46,WEST CENTRAL,40,LAWRENCE,81,0,540,0,51.1,69.7504425,33.00086404
3206,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,28058,16886,276,148.0,7039.798446,122165.4405
3208,COUNTY,TEXAS,48,BLACKLANDS,40,LIMESTONE,293,4687,7114,637,73.4,1720.844491,8150.846592
3210,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MADISON,89,30498,25499,0,148.0,8604.968377,179018.0589
3228,COUNTY,FLORIDA,12,NORTHEAST,30,MADISON,79,0,5741,0,138.5,787.5937432,3655.710077
3246,COUNTY,GEORGIA,13,NORTHEAST,30,MADISON,195,0,0,0,128.7,0.0,0.0
3264,COUNTY,LOUISIANA,22,NORTHEAST,30,MADISON,65,21997,48704,0,152.8,10931.95858,318294.0011
3282,COUNTY,MISSISSIPPI,28,CENTRAL,50,MADISON,89,4997,8312,0,149.9,1977.039591,10536.75482
3300,COUNTY,MISSOURI,29,SOUTH CENTRAL,80,MADISON,123,0,214,0,107.1,29.3581364,5.356466812
3318,COUNTY,NORTH CAROLINA,37,WESTERN MOUNTAIN,20,MADISON,115,0,0,0,127.9,0.0,0.0
3336,COUNTY,TENNESSEE,47,WEST TENNESSEE,20,MADISON,113,22177,19955,0,137.6,6451.067451,100696.4168
3354,COUNTY,TEXAS,48,EAST TEXAS SOUTH,52,MADISON,313,0,2749,0,73.4,355.0814193,840.1228144
3372,COUNTY,VIRGINIA,51,NORTHERN,20,MADISON,113,0,6532,0,112.5,896.1090978,4731.272636
3390,COUNTY,IDAHO,16,EAST,90,MADISON,65,0,0,0,48.1,0.0,0.0
3408,COUNTY,ILLINOIS,17,WEST SOUTHWEST,60,MADISON,119,0,121675,0,99.6,15716.45387,1638796.333
3426,COUNTY,INDIANA,18,CENTRAL,50,MADISON,95,0,85664,0,106.0,11752.03456,812338.7913
