,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,cotton_area,Corn_area,SORGHUM_ACRES,precipitation_cm,Latitude,Longitude,CO2,N2O
26,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,FRANKLIN,59,3262,1101,0,148,34.440962,-87.8339064,697.2582146,1363.850205
27,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,18354,15885,0,148,34.9049555,-87.6747398,5252.561176,66719.36386
28,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAWRENCE,79,18804,22925,0,148,34.4776367,-87.3017331,6293.71306,98893.51763
29,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,28058,16886,276,148,34.8342463,-86.9901321,7039.798446,122165.4405
30,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MADISON,89,30498,25499,0,148,34.7736807,-86.5675095,8604.968377,179018.0589
31,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MARION,93,0,1197,0,148,34.1128132,-87.8544031,164.2135012,160.1958369
32,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MORGAN,103,2205,1920,0,148,34.4296848,-86.8529584,632.6224978,972.7624368
33,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHAMBERS,17,0,144,0,148,32.8901658,-85.3866953,19.75500767,2.488671979
34,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHILTON,21,0,486,0,148,32.8522565,-86.7032845,66.67315088,26.79602631
35,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,FAYETTE,57,5760,720,0,148,33.7303493,-87.7419088,1063.274357,3881.955138
36,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LAMAR,75,0,0,0,148,33.7490016,-88.1003689,0,0
37,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LEE,81,983,210,0,148,32.5814796,-85.3077038,193.410572,117.6208287
38,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,PICKENS,107,3175,3058,0,148,33.2948421,-88.1244034,951.1662979,2202.816974
39,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,RANDOLPH,111,0,1262,0,148,33.2651763,-85.4693961,173.1306922,177.9741437
40,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,SHELBY,117,5095,1386,0,148,33.2503347,-86.6639746,1043.288482,3206.966762
41,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLADEGA,121,5405,3257,0,148,33.3967079,-86.1597137,1351.875212,4545.771538
42,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLAPOOSA,123,0,375,0,148,32.8595687,-85.8023774,51.44533247,16.06878749
43,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TUSCALOOSA,125,1422,1465,0,148,33.2095614,-87.5675258,439.0905349,473.9968056
44,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,WALKER,127,0,522,0,148,33.7804491,-87.2767248,71.6119028,30.86086254
45,COUNTY,ALABAMA,1,WIREGRASS,60,BARBOUR,5,6825,1065,0,148,31.8589311,-85.4032078,1288.935969,5493.538352
46,COUNTY,ALABAMA,1,WIREGRASS,60,COFFEE,31,12628,2317,0,148,31.3629619,-85.9870669,2432.39436,18955.05039
47,COUNTY,ALABAMA,1,WIREGRASS,60,COVINGTON,39,13390,2246,0,148,31.196549,-86.4597236,2550.249266,21200.34322
48,COUNTY,ALABAMA,1,WIREGRASS,60,CRENSHAW,41,0,1481,0,148,31.6809362,-86.3244009,203.1747664,244.7573706
49,COUNTY,ALABAMA,1,WIREGRASS,60,DALE,45,10656,1925,0,148,31.3940969,-85.623763,2048.40978,13486.86405
50,COUNTY,ALABAMA,1,WIREGRASS,60,GENEVA,61,22530,4009,0,148,31.0862933,-85.803014,4322.5838,60195.45414
51,COUNTY,ALABAMA,1,WIREGRASS,60,HENRY,67,19876,4819,0,148,31.4838041,-85.2447377,3989.299261,48040.19209
52,COUNTY,ALABAMA,1,WIREGRASS,60,HOUSTON,69,17389,1762,85,148,31.1355603,-85.2654592,3161.173232,35146.97008
53,COUNTY,ALABAMA,1,WIREGRASS,60,PIKE,109,4524,2140,0,148,31.7615793,-85.9259465,1051.115204,2869.768665
54,COUNTY,ALABAMA,1,WIREGRASS,60,RUSSELL,113,4713,2012,0,148,32.2698458,-85.1959487,1065.202831,3011.817297
55,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,0,1292,0,148,32.09929,-85.7091657,177.2463188,186.4949613
56,COUNTY,ALABAMA,1,BLACK BELT,40,GREENE,63,0,34,0,148,32.8620514,-87.9915392,4.664376811,0.173650586
57,COUNTY,ALABAMA,1,BLACK BELT,40,HALE,65,0,0,0,148,32.7412417,-87.6561668,0,0
58,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BUTLER,13,0,2882,0,148,32.0895908,-88.2219652,395.3745285,923.1942524
59,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,0,492,0,148,33.6506958,-85.5017359,67.4962762,27.45357617
60,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,0,55,0,148,32.5348561,-86.2333022,7.545315429,0.408743638
61,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,WINSTON,133,0,70,0,148,34.1328863,-87.361354,9.603128728,0.636435792
62,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,BIBB,7,0,827,0,148,32.971079,-87.1227088,113.4541065,76.81059096
63,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CLAY,27,0,0,0,148,33.715158,-86.58666945,0,0
64,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,COOSA,37,0,22,0,148,32.9181762,-86.2327497,3.018126172,0.083141966
65,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,JEFFERSON,73,0,114,0,148,33.5228184,-86.9164513,15.63938107,1.591664527
66,COUNTY,ARIZONA,4,NORTHERN,10,MOHAVE,15,0,0,0,34.5,35.7218038,-113.827117,0,0
67,COUNTY,ARIZONA,4,SOUTHERN,80,COCHISE,3,0,23292,0,34.5,31.8514532,-109.8181858,3008.569086,60078.4711
68,COUNTY,ARIZONA,4,SOUTHERN,80,GRAHAM,9,26179,5156,228,34.5,32.8397096,-109.8685752,4859.228085,81808.87219
69,COUNTY,ARIZONA,4,SOUTHERN,80,GREENLEE,11,176,0,0,34.5,33.2312681,-109.2751297,28.05928071,3.799226853
70,COUNTY,ARIZONA,4,SOUTHERN,80,LAPAZ,12,10987,0,0,34.5,34.2256824,-114.1927164,1751.632484,13898.51012
71,COUNTY,ARIZONA,4,SOUTHERN,80,MARICOPA,13,27659,0,982,34.5,33.34883,-112.49123,4493.951419,88040.27986
72,COUNTY,ARIZONA,4,SOUTHERN,80,PIMA,19,11693,0,0,34.5,32.1112624,-111.6546163,1864.188462,15741.06217
73,COUNTY,ARIZONA,4,SOUTHERN,80,PINAL,21,88107,1184,1156,34.5,32.8085851,-111.4426212,14298.91734,893127.1402
74,COUNTY,ARIZONA,4,SOUTHERN,80,YUMA,27,12264,0,256,34.5,32.665135,-114.4760316,1977.208447,17316.46007
75,COUNTY,ARIZONA,4,NORTHERN,10,NAVAJO,17,0,300,0,34.5,35.1819775,-110.3549451,38.75024583,10.36467392
76,COUNTY,ARIZONA,4,NORTHERN,10,YAVAPAI,25,0,139,0,34.5,34.5668857,-112.5515965,17.95428057,2.325335426
77,COUNTY,ARKANSAS,5,EAST CENTRAL,60,CRITTENDEN,35,18903,12572,842,128.4,35.2505701,-90.3192299,4966.253003,58639.57704
78,COUNTY,ARKANSAS,5,EAST CENTRAL,60,CROSS,37,0,13964,826,128.4,35.3001216,-90.7750181,1990.50312,21607.25853
79,COUNTY,ARKANSAS,5,EAST CENTRAL,60,LEE,77,43881,31063,0,128.4,34.7836833,-90.7759619,11609.23381,328362.4445
80,COUNTY,ARKANSAS,5,EAST CENTRAL,60,LONOKE,85,4768,33997,0,128.4,34.7414404,-91.862792,5462.356351,130593.1826
81,COUNTY,ARKANSAS,5,EAST CENTRAL,60,MONROE,95,2959,26601,1696,128.4,34.6778982,-91.2289578,4298.421756,79390.65053
82,COUNTY,ARKANSAS,5,EAST CENTRAL,60,PHILLIPS,107,27230,34883,0,128.4,34.4427373,-90.8331287,9345.116972,220043.8556
83,COUNTY,ARKANSAS,5,EAST CENTRAL,60,PRAIRIE,117,0,15326,0,128.4,34.8105247,-91.5751148,2102.536441,26018.39907
84,COUNTY,ARKANSAS,5,EAST CENTRAL,60,SAINT FRANCIS,123,23341,15917,0,128.4,36.4541109,-90.1441726,6092.013348,90753.81608
85,COUNTY,ARKANSAS,5,EAST CENTRAL,60,WOODRUFF,147,0,17477,0,128.4,35.1714574,-91.2229851,2397.626868,33830.96433
86,COUNTY,ARKANSAS,5,NORTHEAST,30,CLAY,21,25698,26891,227,128.4,36.3609902,-90.4087659,8012.744867,156062.0973
87,COUNTY,ARKANSAS,5,NORTHEAST,30,CRAIGHEAD,31,71824,33408,0,128.4,35.8348413,-90.6441144,16609.93245,716991.471
88,COUNTY,ARKANSAS,5,NORTHEAST,30,GREENE,55,4461,24635,320,128.4,36.091803,-90.5778883,4155.584459,69500.46904
89,COUNTY,ARKANSAS,5,NORTHEAST,30,MISSISSIPPI,93,92385,17558,269,128.4,35.7547987,-90.0875933,17902.76898,1015907.893
90,COUNTY,ARKANSAS,5,NORTHEAST,30,POINSETT,111,22977,18436,528,128.4,35.5730183,-90.6717121,6424.462149,98398.31526
91,COUNTY,ARKANSAS,5,SOUTH CENTRAL,80,CLARK,19,0,0,0,128.4,34.0541966,-93.198963,0,0
92,COUNTY,ARKANSAS,5,SOUTHEAST,90,ASHLEY,3,20608,18071,0,128.4,33.1742582,-91.7295595,5929.880505,85041.56462
93,COUNTY,ARKANSAS,5,SOUTHEAST,90,CHICOT,17,22180,24115,0,128.4,33.2536665,-91.3026986,7022.270016,121008.8716
94,COUNTY,ARKANSAS,5,SOUTHEAST,90,DESHA,41,17037,28905,0,128.4,33.7740219,-91.3110517,6818.214369,125920.5722
95,COUNTY,ARKANSAS,5,SOUTHEAST,90,DREW,43,9369,9581,0,128.4,33.5716907,-91.7160969,2883.212371,20281.29433
96,COUNTY,ARKANSAS,5,SOUTHEAST,90,JEFFERSON,69,5937,42130,0,128.4,34.2711667,-91.9248307,6773.849198,200573.0367
97,COUNTY,ARKANSAS,5,SOUTHEAST,90,LINCOLN,79,19719,19994,0,128.4,33.9359663,-91.7713274,6044.831077,89021.49198
98,COUNTY,ARKANSAS,5,SOUTHWEST,70,LITTLE RIVER,81,0,9271,0,128.4,33.6968793,-94.2065398,1271.865806,9525.781448
99,COUNTY,ARKANSAS,5,SOUTHWEST,70,MILLER,91,0,10447,0,128.4,33.318142,-93.86587077,1433.198369,12093.90855
100,COUNTY,ARKANSAS,5,CENTRAL,50,CONWAY,29,0,2827,0,128.4,35.2521996,-92.6888936,387.829213,888.3665742
101,COUNTY,ARKANSAS,5,CENTRAL,50,FAULKNER,45,0,1472,0,128.4,35.1470851,-92.3219053,201.9400784,241.8036645
102,COUNTY,ARKANSAS,5,CENTRAL,50,PERRY,105,0,0,0,128.4,34.9616474,-92.8757514,0,0
103,COUNTY,ARKANSAS,5,CENTRAL,50,PULASKI,119,0,3839,0,128.4,34.7550166,-92.3003472,526.6630169,1636.390076
104,COUNTY,ARKANSAS,5,EAST CENTRAL,60,ARKANSAS,1,0,46585,0,128.4,34.2902454,-91.3598511,6390.882168,240261.5813
105,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,FULTON,49,0,450,0,128.4,36.3783981,-91.8110982,61.73439896,23.0180791
106,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,IZARD,65,0,0,0,128.4,36.0832532,-91.8894787,0,0
107,COUNTY,ARKANSAS,5,NORTHEAST,30,INDEPENDENCE,63,0,4748,0,128.4,35.718344,-91.55326,651.3665028,2501.553301
108,COUNTY,ARKANSAS,5,NORTHEAST,30,JACKSON,67,0,10965,0,128.4,35.5770886,-91.196742,1504.261521,13322.23039
109,COUNTY,ARKANSAS,5,NORTHEAST,30,LAWRENCE,75,0,6931,0,128.4,36.0078212,-91.1655476,950.8469316,5326.366196
110,COUNTY,ARKANSAS,5,NORTHEAST,30,RANDOLPH,121,0,4361,0,128.4,36.3412315,-91.0387017,598.2749197,2110.85707
111,COUNTY,ARKANSAS,5,NORTHEAST,30,WHITE,145,0,4552,0,128.4,35.2463042,-91.7169687,624.4777424,2299.537798
112,COUNTY,ARKANSAS,5,NORTHWEST,10,BENTON,7,0,407,0,128.4,36.3456186,-94.2670404,55.83533417,18.88151947
113,COUNTY,ARKANSAS,5,NORTHWEST,10,BOONE,9,0,0,0,128.4,36.2829183,-93.0784759,0,0
114,COUNTY,ARKANSAS,5,NORTHWEST,10,CARROLL,15,0,0,0,128.4,36.3386737,-93.5093048,0,0
115,COUNTY,ARKANSAS,5,NORTHWEST,10,WASHINGTON,143,0,0,0,128.4,35.9672625,-94.2280656,0,0
116,COUNTY,ARKANSAS,5,SOUTHWEST,70,LAFAYETTE,73,0,11869,0,128.4,33.1821484,-93.5972459,1628.27907,15608.14643
117,COUNTY,ARKANSAS,5,WEST CENTRAL,40,CRAWFORD,33,0,1638,0,128.4,35.5803044,-94.2684622,224.7132122,299.1677394
118,COUNTY,ARKANSAS,5,WEST CENTRAL,40,FRANKLIN,47,0,628,0,128.4,35.5110075,-93.8864847,86.15378344,44.49553986
119,COUNTY,ARKANSAS,5,WEST CENTRAL,40,JOHNSON,71,0,1537,0,128.4,35.5600697,-93.4550108,210.8572693,263.5388705
120,COUNTY,ARKANSAS,5,WEST CENTRAL,40,LOGAN,83,0,0,0,128.4,35.2255171,-93.7233321,0,0
121,COUNTY,ARKANSAS,5,WEST CENTRAL,40,POPE,115,0,1186,0,128.4,35.453867,-93.0498623,162.7044382,157.2797309
122,COUNTY,ARKANSAS,5,WEST CENTRAL,40,SEBASTIAN,131,0,0,0,128.4,35.1770785,-94.2654285,0,0
123,COUNTY,ARKANSAS,5,WEST CENTRAL,40,YELL,149,0,1894,0,128.4,34.9906072,-93.4283105,259.8332259,399.5900696
124,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,COLUSA,11,463,3460,0,56.3,39.1465578,-122.2209563,520.7345415,1354.974982
125,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,GLENN,21,3159,3663,0,56.3,39.5912766,-122.3778662,976.7727047,2642.010477
126,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SUTTER,101,0,6386,0,56.3,38.9509675,-121.697088,824.8635663,4522.326109
127,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,FRESNO,19,74535,1365,0,56.3,36.7394421,-119.7848307,12059.25957,639261.0669
128,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,KERN,29,24945,275,0,56.3,35.3145701,-118.753822,4012.445816,71609.67932
129,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,KINGS,31,114865,1346,338,56.3,36.0784807,-119.7956342,18515.55517,1517841.446
130,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MADERA,39,0,623,0,56.3,37.1716264,-119.7737991,80.47134384,43.79650005
131,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MERCED,47,47766,5490,0,56.3,37.1641544,-120.7678602,8324.354512,265820.9777
132,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,TULARE,107,25492,5558,0,56.3,36.2516475,-118.852583,4782.044614,78201.38658
133,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,IMPERIAL,25,4331,989,0,56.3,33.0305487,-115.3595666,818.228148,2272.781884
134,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,RIVERSIDE,65,5475,0,0,56.3,33.7219991,-116.0372472,872.8668288,3454.956555
135,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,CONTRA COSTA,13,0,0,0,56.3,37.9034806,-121.9175345,0,0
136,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,LAKE,33,0,0,0,56.3,39.0505411,-122.7776556,0,0
137,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,MONTEREY,53,0,340,0,56.3,36.2231079,-121.387742,43.91694528,13.25191234
138,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SONOMA,97,0,12,0,56.3,38.5110803,-122.8473388,1.550009833,0.032068264
139,COUNTY,CALIFORNIA,6,NORTHEAST,30,MODOC,49,0,0,0,56.3,41.5450487,-120.7435998,0,0
140,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,BUTTE,7,0,1750,0,56.3,39.6519275,-121.5858444,226.0431007,341.3174216
141,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SACRAMENTO,67,0,11387,0,56.3,38.5810606,-121.493895,1470.830164,14366.8151
142,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SOLANO,95,0,4468,0,56.3,38.2218938,-121.9163555,577.1203279,2215.562978
143,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,TEHAMA,103,0,0,0,56.3,40.1251334,-122.2015529,0,0
144,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,YOLO,113,0,13564,789,56.3,38.7184542,-121.9059001,1819.791632,20392.07666
145,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,SAN JOAQUIN,77,0,24453,974,56.3,37.9372901,-121.2773719,3242.185251,66230.68696
146,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,STANISLAUS,99,0,2456,0,56.3,37.5500871,-121.0501425,317.2353459,670.9309791
147,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,CALAVERAS,9,0,0,0,56.3,38.2558181,-120.4981492,0,0
148,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,PLACER,61,0,0,0,56.3,39.1012064,-120.7650606,0,0
149,COUNTY,CALIFORNIA,6,SISKIYOU-SHASTA,20,SHASTA,89,0,0,0,56.3,40.7965121,-121.9979194,0,0
150,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,LOS ANGELES,37,0,0,0,56.3,34.0536909,-118.242766,0,0
151,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,SAN DIEGO,73,0,214,0,56.3,32.7174202,-117.1627728,27.64184203,5.356466812
152,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,SANTA BARBARA,83,0,0,0,56.3,34.4221319,-119.702667,0,0
153,COUNTY,FLORIDA,12,CENTRAL,50,MARION,83,0,62,0,138.5,29.2182454,-82.0626948,8.505628302,0.508801757
154,COUNTY,FLORIDA,12,NORTHEAST,30,COLUMBIA,23,0,1715,0,138.5,30.2097438,-82.62636329,235.2766538,327.8473566
155,COUNTY,FLORIDA,12,NORTHEAST,30,LAFAYETTE,67,1490,0,0,138.5,29.9978185,-83.2221527,249.4972197,257.3439596
156,COUNTY,FLORIDA,12,NORTHEAST,30,MADISON,79,0,5741,0,138.5,30.4514352,-83.4524524,787.5937432,3655.710077
157,COUNTY,FLORIDA,12,NORTHWEST,10,CALHOUN,13,9000,32,0,138.5,30.3853734,-85.2223516,1511.420188,9328.335731
158,COUNTY,FLORIDA,12,NORTHWEST,10,ESCAMBIA,33,11520,409,0,138.5,30.6625885,-87.3451089,1985.108347,15298.0182
159,COUNTY,FLORIDA,12,NORTHWEST,10,HOLMES,59,4317,1025,0,138.5,30.8918676,-85.8138207,863.4893879,2266.911481
160,COUNTY,FLORIDA,12,NORTHWEST,10,JACKSON,63,42605,4269,0,138.5,30.8013861,-85.2063186,7719.767117,210850.7618
161,COUNTY,FLORIDA,12,NORTHWEST,10,JEFFERSON,65,1846,364,0,138.5,30.3949531,-83.9326576,359.0449053,409.5684488
162,COUNTY,FLORIDA,12,NORTHWEST,10,OKALOOSA,91,3064,403,0,138.5,30.6765961,-86.6037748,568.3466384,1102.392488
163,COUNTY,FLORIDA,12,NORTHWEST,10,SANTA ROSA,113,18864,885,0,138.5,30.6964502,-87.0097524,3280.146254,41040.79524
164,COUNTY,FLORIDA,12,NORTHWEST,10,WALTON,131,3745,494,0,138.5,30.6204939,-86.1912678,694.8626565,1645.773633
165,COUNTY,FLORIDA,12,NORTHWEST,10,WASHINGTON,133,1794,466,0,138.5,30.6009343,-85.6762025,364.3307502,397.2363087
166,COUNTY,FLORIDA,12,CENTRAL,50,ALACHUA,1,0,1813,0,138.5,29.675568,-82.3640109,248.721034,366.2468924
167,COUNTY,FLORIDA,12,CENTRAL,50,BRADFORD,7,0,0,0,138.5,29.9715087,-82.1608653,0,0
168,COUNTY,FLORIDA,12,CENTRAL,50,CITRUS,17,0,0,0,138.5,28.8512851,-82.5141209,0,0
169,COUNTY,FLORIDA,12,CENTRAL,50,CLAY,19,0,0,0,138.5,29.9766524,-81.8470596,0,0
170,COUNTY,FLORIDA,12,CENTRAL,50,FLAGLER,35,0,0,0,138.5,29.4844412,-81.2917415,0,0
171,COUNTY,FLORIDA,12,CENTRAL,50,GILCHRIST,41,0,1098,0,138.5,29.7131619,-82.7975172,150.6319335,134.9151489
172,COUNTY,FLORIDA,12,CENTRAL,50,HILLSBOROUGH,57,0,303,0,138.5,27.9184543,-82.3488057,41.56782864,10.56893105
173,COUNTY,FLORIDA,12,CENTRAL,50,LAKE,69,0,0,0,138.5,28.7006859,-81.78994,0,0
174,COUNTY,FLORIDA,12,CENTRAL,50,LEVY,75,0,850,0,138.5,29.3008632,-82.7824592,116.6094203,81.11064117
175,COUNTY,FLORIDA,12,CENTRAL,50,ORANGE,95,0,0,0,138.5,28.5421109,-81.3790304,0,0
176,COUNTY,FLORIDA,12,CENTRAL,50,PUTNAM,107,0,0,0,138.5,29.6266155,-81.7230549,0,0
177,COUNTY,FLORIDA,12,CENTRAL,50,ST. JOHNS,109,0,2262,0,138.5,29.9032284,-81.4145468,310.3182455,569.3634114
178,COUNTY,FLORIDA,12,CENTRAL,50,UNION,125,0,0,0,138.5,30.044304,-82.3954479,0,0
179,COUNTY,FLORIDA,12,CENTRAL,50,VOLUSIA,127,0,0,0,138.5,29.0533409,-81.1310761,0,0
180,COUNTY,FLORIDA,12,NORTHEAST,30,BAKER,3,0,111,0,138.5,30.3143459,-82.2847163,15.22781841,1.512921349
181,COUNTY,FLORIDA,12,NORTHEAST,30,DIXIE,29,0,430,0,138.5,29.6214008,-83.17351,58.9906479,21.04318393
182,COUNTY,FLORIDA,12,NORTHEAST,30,DUVAL,31,0,0,0,138.5,30.3540073,-81.6632109,0,0
183,COUNTY,FLORIDA,12,NORTHEAST,30,HAMILTON,47,0,1928,0,138.5,30.5232289,-82.9763531,264.4976027,414.0187397
184,COUNTY,FLORIDA,12,NORTHEAST,30,NASSAU,89,0,132,0,138.5,30.6624329,-81.7707334,18.10875703,2.10596158
185,COUNTY,FLORIDA,12,NORTHEAST,30,SUWANNEE,121,0,2095,0,138.5,30.2101192,-82.9873377,287.4079241,488.6042515
186,COUNTY,FLORIDA,12,NORTHEAST,30,TAYLOR,123,0,30,0,138.5,30.0926733,-83.6377926,4.115626598,0.139939206
187,COUNTY,FLORIDA,12,NORTHWEST,10,GADSDEN,39,0,667,0,138.5,30.5937346,-84.6389937,91.50409802,50.13798158
