Program,Year,Period,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,RICE - ACRES HARVESTED,"RICE - PRODUCTION, MEASURED IN CWT",Rice Production in Kg
CENSUS,2017,YEAR,COUNTY,MISSISSIPPI,28,UPPER DELTA,10,TALLAHATCHIE,135,6008.00,416813.00,18906304.23
CENSUS,2017,YEAR,COUNTY,MISSISSIPPI,28,UPPER DELTA,10,TUNICA,143,25318.00,1943323.00,88147576.62
CENSUS,2017,YEAR,COUNTY,MISSOURI,29,NORTHEAST,30,KNOX,103,0.00,0.00,0
CENSUS,2017,YEAR,COUNTY,MISSOURI,29,SOUTH CENTRAL,80,RIPLEY,181,4571.00,292013.00,13245476.07
CENSUS,2017,YEAR,COUNTY,MISSOURI,29,SOUTHEAST,90,BUTLER,23,54551.00,4123566.00,187041654.9
CENSUS,2017,YEAR,COUNTY,MISSOURI,29,SOUTHEAST,90,DUNKLIN,69,16133.00,1287079.00,58380873.78
CENSUS,2017,YEAR,COUNTY,MISSOURI,29,SOUTHEAST,90,MISSISSIPPI,133,0.00,0.00,0
CENSUS,2017,YEAR,COUNTY,MISSOURI,29,SOUTHEAST,90,NEW MADRID,143,11915.00,868821.00,39409025.5
CENSUS,2017,YEAR,COUNTY,MISSOURI,29,SOUTHEAST,90,PEMISCOT,155,37421.00,2703974.00,122650097.5
CENSUS,2017,YEAR,COUNTY,MISSOURI,29,SOUTHEAST,90,SCOTT,201,4501.00,375800.00,17045987.36
CENSUS,2017,YEAR,COUNTY,MISSOURI,29,SOUTHEAST,90,STODDARD,207,37761.00,2712735.00,123047489.4
CENSUS,2017,YEAR,COUNTY,SOUTH CAROLINA,45,EASTERN,30,DARLINGTON,31,0.00,0.00,0
CENSUS,2017,YEAR,COUNTY,SOUTH CAROLINA,45,SOUTHERN,80,CHARLESTON,19,0.00,0.00,0
CENSUS,2017,YEAR,COUNTY,SOUTH CAROLINA,45,SOUTHERN,80,JASPER,53,0.00,0.00,0
CENSUS,2017,YEAR,COUNTY,TENNESSEE,47,DELTA,10,DYER,45,0.00,0.00,0
CENSUS,2017,YEAR,COUNTY,TENNESSEE,47,WEST TENNESSEE,20,HARDEMAN,69,0.00,0.00,0
CENSUS,2017,YEAR,COUNTY,TEXAS,48,EAST TEXAS NORTH,51,BOWIE,37,0.00,0.00,0
CENSUS,2017,YEAR,COUNTY,TEXAS,48,EAST TEXAS SOUTH,52,HARDIN,199,0.00,0.00,0
CENSUS,2017,YEAR,COUNTY,TEXAS,48,EAST TEXAS SOUTH,52,ROBERTSON,395,0.00,0.00,0
CENSUS,2017,YEAR,COUNTY,TEXAS,48,EAST TEXAS SOUTH,52,WALLER,473,7330.00,866716.00,39313544.39
CENSUS,2017,YEAR,COUNTY,TEXAS,48,SOUTH CENTRAL,81,COLORADO,89,28929.00,2089604.00,94782765.76
CENSUS,2017,YEAR,COUNTY,TEXAS,48,SOUTH CENTRAL,81,LAVACA,285,1685.00,94576.00,4289891.699
CENSUS,2017,YEAR,COUNTY,TEXAS,48,UPPER COAST,90,BRAZORIA,39,15271.00,813054.00,36879479
CENSUS,2017,YEAR,COUNTY,TEXAS,48,UPPER COAST,90,CALHOUN,57,0.00,0.00,0
CENSUS,2017,YEAR,COUNTY,TEXAS,48,UPPER COAST,90,CHAMBERS,71,17898.00,1010653.00,45842411.56
CENSUS,2017,YEAR,COUNTY,TEXAS,48,UPPER COAST,90,FORT BEND,157,7844.00,765709.00,34731947.67
CENSUS,2017,YEAR,COUNTY,TEXAS,48,UPPER COAST,90,JACKSON,239,2080.00,162534.00,7372412.213
CENSUS,2017,YEAR,COUNTY,TEXAS,48,UPPER COAST,90,JEFFERSON,245,20698.00,845245.00,38339637
CENSUS,2017,YEAR,COUNTY,TEXAS,48,UPPER COAST,90,LIBERTY,291,0.00,0.00,0
CENSUS,2017,YEAR,COUNTY,TEXAS,48,UPPER COAST,90,MATAGORDA,321,12187.00,782645.00,35500151.08
CENSUS,2017,YEAR,COUNTY,TEXAS,48,UPPER COAST,90,VICTORIA,469,5491.00,269370.00,12218407.7
CENSUS,2017,YEAR,COUNTY,TEXAS,48,UPPER COAST,90,WHARTON,481,30369.00,2494885.00,113165987.7
