Program,Year,Period,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,"SUGARCANE, SUGAR - ACRES HARVESTED","SUGARCANE, SUGAR - PRODUCTION, MEASURED IN TONS",SUGAR PRODUCTION in KG
CENSUS,2017,YEAR,COUNTY,LOUISIANA,22,CENTRAL,50,WEST BATON ROUGE,121,11940.00,406406.00,406406000
CENSUS,2017,YEAR,COUNTY,LOUISIANA,22,SOUTH CENTRAL,80,ASSUMPTION,7,45267.00,1456604.00,1456604000
CENSUS,2017,YEAR,COUNTY,LOUISIANA,22,SOUTH CENTRAL,80,IBERIA,45,51891.00,1697980.00,1697980000
CENSUS,2017,YEAR,COUNTY,LOUISIANA,22,SOUTH CENTRAL,80,IBERVILLE,47,36351.00,1243613.00,1243613000
CENSUS,2017,YEAR,COUNTY,LOUISIANA,22,SOUTH CENTRAL,80,LAFAYETTE,55,6337.00,209445.00,209445000
CENSUS,2017,YEAR,COUNTY,LOUISIANA,22,SOUTH CENTRAL,80,SAINT MARTIN,99,29455.00,967634.00,967634000
CENSUS,2017,YEAR,COUNTY,LOUISIANA,22,SOUTH CENTRAL,80,SAINT MARY,101,46905.00,1510142.00,1510142000
CENSUS,2017,YEAR,COUNTY,LOUISIANA,22,SOUTHEAST,90,ASCENSION,5,10281.00,338373.00,338373000
CENSUS,2017,YEAR,COUNTY,LOUISIANA,22,SOUTHEAST,90,LAFOURCHE,57,27371.00,817342.00,817342000
CENSUS,2017,YEAR,COUNTY,LOUISIANA,22,SOUTHEAST,90,SAINT JAMES,93,28474.00,898828.00,898828000
CENSUS,2017,YEAR,COUNTY,LOUISIANA,22,SOUTHEAST,90,ST. JOHN THE BAPTIST,95,10316.00,289132.00,289132000
CENSUS,2017,YEAR,COUNTY,LOUISIANA,22,SOUTHEAST,90,TERREBONNE,109,18015.00,541412.00,541412000
CENSUS,2017,YEAR,COUNTY,LOUISIANA,22,SOUTHWEST,70,ACADIA,1,4848.00,163530.00,163530000
CENSUS,2017,YEAR,COUNTY,LOUISIANA,22,SOUTHWEST,70,JEFFERSON DAVIS,53,0.00,0.00,0
CENSUS,2017,YEAR,COUNTY,LOUISIANA,22,SOUTHWEST,70,VERMILION,113,22691.00,743326.00,743326000
CENSUS,2017,YEAR,COUNTY,TEXAS,48,EAST TEXAS NORTH,51,HARRISON,203,0.00,0.00,0
CENSUS,2017,YEAR,COUNTY,TEXAS,48,EAST TEXAS SOUTH,52,MONTGOMERY,339,0.00,0.00,0
CENSUS,2017,YEAR,COUNTY,TEXAS,48,LOWER VALLEY,97,CAMERON,61,10370.00,372827.00,372827000
CENSUS,2017,YEAR,COUNTY,TEXAS,48,LOWER VALLEY,97,HIDALGO,215,24173.00,1029870.00,1029870000
CENSUS,2017,YEAR,COUNTY,TEXAS,48,LOWER VALLEY,97,WILLACY,489,6916.00,0.00,0
CENSUS,2017,YEAR,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,GRAY,179,0.00,0.00,0
