,Latitude,Longitude,"CORN, GRAIN - ACRES HARVESTED",BARLEY - ACRES HARVESTED,RICE - ACRES HARVESTED,"SUGARCANE, SUGAR - ACRES HARVESTED",WHEAT - ACRES HARVESTED,Crop-Scope1-MMT
104,36.28,-93.08,0.0,0.0,0.0,0.0,0.0,0.0
105,36.34,-93.51,0.0,0.0,0.0,0.0,0.0,0.0
106,35.97,-94.23,0.0,0.0,0.0,0.0,0.0,0.0
107,34.05,-93.2,0.0,0.0,0.0,0.0,0.0,0.0
108,33.17,-91.73,18071.0,0.0,2080.0,0.0,1545.0,0.19
109,33.25,-91.3,24115.0,0.0,21774.0,0.0,2340.0,1.08
110,33.77,-91.31,28905.0,0.0,17510.0,0.0,2034.0,0.9
111,33.57,-91.72,9581.0,0.0,3839.0,0.0,1200.0,0.21
112,34.27,-91.92,42130.0,0.0,53745.0,0.0,5621.0,2.57
113,33.94,-91.77,19994.0,0.0,15681.0,0.0,2601.0,0.8
114,33.18,-93.6,11869.0,0.0,4052.0,0.0,3255.0,0.18
115,33.7,-94.21,9271.0,0.0,0.0,0.0,4107.0,0.04
116,33.32,-93.87,10447.0,0.0,0.0,0.0,8574.0,0.04
117,35.58,-94.27,1638.0,0.0,0.0,0.0,1447.0,0.01
118,35.51,-93.89,628.0,0.0,0.0,0.0,0.0,0.0
119,35.56,-93.46,1537.0,0.0,0.0,0.0,0.0,0.01
120,35.23,-93.72,0.0,0.0,0.0,0.0,0.0,0.0
121,35.45,-93.05,1186.0,0.0,2824.0,0.0,979.0,0.14
122,35.18,-94.27,0.0,0.0,0.0,0.0,0.0,0.0
123,34.99,-93.43,1894.0,0.0,0.0,0.0,0.0,0.01
124,37.9,-121.92,0.0,0.0,0.0,0.0,0.0,0.0
125,39.05,-122.78,0.0,0.0,0.0,0.0,10.0,0.0
126,36.22,-121.39,340.0,3569.0,0.0,0.0,0.0,0.0
127,38.51,-122.85,12.0,0.0,0.0,0.0,373.0,0.0
128,41.55,-120.74,0.0,6748.0,0.0,0.0,8090.0,0.01
129,39.65,-121.59,1750.0,0.0,74115.0,0.0,0.0,3.64
130,39.15,-122.22,3460.0,0.0,125348.0,0.0,6963.0,5.61
131,39.59,-122.38,3663.0,624.0,81735.0,0.0,3279.0,4.13
132,38.58,-121.49,11387.0,0.0,3170.0,0.0,2499.0,0.22
133,38.22,-121.92,4468.0,1380.0,0.0,0.0,9404.0,0.02
134,38.95,-121.7,6386.0,0.0,87093.0,0.0,4921.0,3.69
135,40.13,-122.2,0.0,0.0,899.0,0.0,621.0,0.05
136,38.72,-121.91,13564.0,4141.0,25191.0,0.0,24870.0,1.33
137,36.74,-119.78,1365.0,4313.0,2219.0,0.0,38612.0,0.13
138,35.31,-118.75,275.0,1585.0,0.0,0.0,11722.0,0.01
139,36.08,-119.8,1346.0,628.0,0.0,0.0,21188.0,0.02
140,37.17,-119.77,623.0,95.0,0.0,0.0,3500.0,0.0
141,37.16,-120.77,5490.0,1252.0,1660.0,0.0,11379.0,0.12
142,37.94,-121.28,24453.0,510.0,2693.0,0.0,11254.0,0.27
143,37.55,-121.05,2456.0,0.0,0.0,0.0,721.0,0.01
144,36.25,-118.85,5558.0,274.0,0.0,0.0,16899.0,0.03
145,38.26,-120.5,0.0,0.0,0.0,0.0,0.0,0.0
146,39.1,-120.77,0.0,0.0,5815.0,0.0,0.0,0.29
147,40.8,-122.0,0.0,0.0,260.0,0.0,173.0,0.01
148,33.03,-115.36,989.0,0.0,0.0,0.0,19904.0,0.02
149,34.05,-118.24,0.0,0.0,0.0,0.0,0.0,0.0
150,33.72,-116.04,0.0,0.0,0.0,0.0,13369.0,0.01
151,32.72,-117.16,214.0,0.0,0.0,0.0,0.0,0.0
152,34.42,-119.7,0.0,0.0,0.0,0.0,1021.0,0.0
153,39.87,-104.27,42882.0,0.0,0.0,0.0,193026.0,0.16
154,39.64,-104.36,0.0,0.0,0.0,0.0,35106.0,0.01
155,38.83,-102.62,69591.0,0.0,0.0,0.0,172664.0,0.28
156,38.83,-104.53,5.0,0.0,0.0,0.0,504.0,0.0
157,39.31,-104.09,7484.0,0.0,0.0,0.0,22094.0,0.02
158,38.44,-102.76,26280.0,0.0,0.0,0.0,168831.0,0.1
159,39.31,-102.62,209854.0,0.0,0.0,0.0,233352.0,0.9
160,38.92,-103.49,32484.0,0.0,0.0,0.0,126768.0,0.09
161,40.59,-102.37,118783.0,0.0,0.0,0.0,95730.0,0.54
162,39.9,-103.15,121491.0,0.0,0.0,0.0,219114.0,0.36
163,40.02,-102.46,223822.0,600.0,0.0,0.0,101158.0,1.22
164,40.01,-105.27,2564.0,968.0,0.0,0.0,1588.0,0.01
165,39.94,-105.05,0.0,0.0,0.0,0.0,0.0,0.0
166,39.57,-105.26,0.0,0.0,0.0,0.0,0.0,0.0
167,40.68,-105.47,8713.0,813.0,0.0,0.0,3127.0,0.04
168,40.73,-103.12,95667.0,260.0,0.0,0.0,118197.0,0.43
169,40.24,-103.82,58136.0,0.0,0.0,0.0,61216.0,0.29
170,40.87,-102.38,58960.0,0.0,0.0,0.0,70420.0,0.26
171,40.56,-104.48,105661.0,6282.0,0.0,0.0,110603.0,0.55
172,40.65,-106.34,0.0,0.0,0.0,0.0,0.0,0.0
173,37.19,-106.17,39.0,6008.0,0.0,0.0,932.0,0.0
174,37.31,-102.58,49206.0,0.0,0.0,0.0,133845.0,0.19
175,37.94,-103.1,12066.0,0.0,0.0,0.0,3547.0,0.06
176,38.34,-103.83,217.0,0.0,0.0,0.0,0.0,0.0
177,37.31,-104.06,0.0,0.0,0.0,0.0,6793.0,0.0
178,37.89,-103.74,8956.0,0.0,0.0,0.0,1151.0,0.05
179,37.95,-102.41,29416.0,0.0,0.0,0.0,122289.0,0.15
180,38.25,-104.61,3601.0,0.0,0.0,0.0,0.0,0.02
181,38.84,-107.86,4087.0,0.0,0.0,0.0,1496.0,0.02
182,37.75,-108.46,0.0,0.0,0.0,0.0,15008.0,0.0
183,39.55,-107.88,390.0,0.0,0.0,0.0,325.0,0.0
184,37.29,-107.85,586.0,146.0,0.0,0.0,2355.0,0.0
185,39.06,-108.57,5111.0,0.0,0.0,0.0,2821.0,0.03
186,37.35,-108.63,3578.0,225.0,0.0,0.0,18115.0,0.02
187,38.44,-108.24,5128.0,109.0,0.0,0.0,320.0,0.03
188,38.03,-108.47,0.0,0.0,0.0,0.0,654.0,0.0
189,37.58,-105.79,0.0,10666.0,0.0,0.0,1525.0,0.01
190,38.09,-106.36,0.0,14116.0,0.0,0.0,2239.0,0.02
191,41.14,-73.26,231.0,0.0,0.0,0.0,15.0,0.0
192,41.76,-72.69,2029.0,51.0,0.0,0.0,36.0,0.01
193,41.76,-73.26,2097.0,0.0,0.0,0.0,0.0,0.01
194,41.31,-72.93,18.0,0.0,0.0,0.0,0.0,0.0
195,41.36,-72.1,604.0,0.0,0.0,0.0,0.0,0.0
196,41.8,-72.24,604.0,0.0,0.0,0.0,0.0,0.0
197,41.7,-72.16,370.0,0.0,0.0,0.0,0.0,0.0
198,39.12,-75.48,55961.0,8433.0,0.0,0.0,18932.0,0.29
199,39.62,-75.66,20112.0,2173.0,0.0,0.0,6946.0,0.11
200,38.69,-75.37,111890.0,8178.0,0.0,0.0,22695.0,0.57
201,29.68,-82.36,1813.0,0.0,0.0,13.0,0.0,0.01
202,29.97,-82.16,0.0,0.0,0.0,0.0,0.0,0.0
203,28.85,-82.51,0.0,0.0,0.0,0.0,0.0,0.0
204,29.98,-81.85,0.0,0.0,0.0,0.0,0.0,0.0
205,29.48,-81.29,0.0,0.0,0.0,0.0,0.0,0.0
206,29.71,-82.8,1098.0,0.0,0.0,0.0,0.0,0.01
207,27.92,-82.35,303.0,0.0,0.0,0.0,0.0,0.0
208,28.7,-81.79,0.0,0.0,0.0,0.0,0.0,0.0
209,29.3,-82.78,850.0,0.0,0.0,0.0,0.0,0.0
210,29.22,-82.06,62.0,0.0,0.0,15.0,0.0,0.0
211,28.54,-81.38,0.0,0.0,0.0,0.0,0.0,0.0
212,29.63,-81.72,0.0,0.0,0.0,0.0,0.0,0.0
213,29.9,-81.41,2262.0,0.0,0.0,0.0,0.0,0.01
214,30.04,-82.4,0.0,0.0,0.0,0.0,1200.0,0.0
215,29.05,-81.13,0.0,0.0,0.0,0.0,0.0,0.0
216,30.31,-82.28,111.0,0.0,0.0,0.0,0.0,0.0
217,30.21,-82.63,1715.0,0.0,0.0,0.0,0.0,0.01
218,29.62,-83.17,430.0,0.0,0.0,0.0,0.0,0.0
219,30.35,-81.66,0.0,0.0,0.0,0.0,0.0,0.0
220,30.52,-82.98,1928.0,0.0,0.0,0.0,0.0,0.01
221,30.0,-83.22,0.0,0.0,0.0,0.0,165.0,0.0
222,30.45,-83.45,5741.0,0.0,0.0,0.0,0.0,0.03
223,30.66,-81.77,132.0,0.0,0.0,0.0,0.0,0.0
224,30.21,-82.99,2095.0,0.0,0.0,0.0,0.0,0.01
225,30.09,-83.64,30.0,0.0,0.0,0.0,0.0,0.0
226,30.39,-85.22,32.0,0.0,0.0,0.0,0.0,0.0
227,30.66,-87.35,409.0,0.0,0.0,0.0,0.0,0.0
228,30.59,-84.64,667.0,0.0,0.0,0.0,0.0,0.0
229,30.89,-85.81,1025.0,0.0,0.0,0.0,1345.0,0.0
230,30.8,-85.21,4269.0,0.0,0.0,0.0,521.0,0.02
231,30.39,-83.93,364.0,0.0,0.0,0.0,340.0,0.0
232,30.47,-84.25,2042.0,0.0,0.0,0.0,0.0,0.01
233,30.25,-84.9,0.0,0.0,0.0,0.0,0.0,0.0
234,30.68,-86.6,403.0,0.0,0.0,0.0,0.0,0.0
235,30.7,-87.01,885.0,0.0,0.0,0.0,2964.0,0.0
236,30.15,-84.35,4.0,0.0,0.0,0.0,0.0,0.0
237,30.62,-86.19,494.0,0.0,0.0,3.0,0.0,0.0
238,30.6,-85.68,466.0,0.0,0.0,0.0,0.0,0.0
239,28.21,-80.8,0.0,0.0,0.0,0.0,0.0,0.0
240,26.09,-81.38,81.0,0.0,0.0,0.0,0.0,0.0
241,27.7,-80.59,1218.0,0.0,0.0,0.0,750.0,0.01
242,27.52,-82.38,0.0,0.0,0.0,0.0,0.0,0.0
243,25.64,-80.5,13.0,0.0,0.0,6.0,0.0,0.0
244,27.39,-80.89,0.0,0.0,0.0,0.0,0.0,0.0
245,26.63,-80.45,129.0,0.0,0.0,275442.0,0.0,61.74
246,27.34,-82.53,0.0,0.0,0.0,0.0,0.0,0.0
247,33.09,-83.26,0.0,0.0,0.0,0.0,0.0,0.0
248,32.81,-83.69,0.0,0.0,0.0,0.0,0.0,0.0
249,32.43,-83.33,2644.0,0.0,0.0,0.0,773.0,0.01
250,33.28,-83.95,0.0,0.0,0.0,0.0,0.0,0.0
251,32.72,-83.98,0.0,0.0,0.0,0.0,0.0,0.0
252,32.15,-83.15,1594.0,0.0,0.0,0.0,326.0,0.01
253,32.47,-83.63,1206.0,0.0,0.0,0.0,716.0,0.01
254,33.33,-83.69,66.0,0.0,0.0,0.0,92.0,0.0
255,32.69,-82.64,3287.0,0.0,0.0,0.0,144.0,0.02
256,31.63,-81.48,0.0,0.0,0.0,0.0,0.0,0.0
257,32.42,-82.94,1862.0,300.0,0.0,0.0,1395.0,0.01
258,33.01,-83.9,86.0,0.0,0.0,0.0,0.0,0.0
259,32.08,-82.54,0.0,0.0,0.0,0.0,213.0,0.0
260,33.58,-83.51,322.0,0.0,0.0,0.0,1100.0,0.0
261,33.57,-83.84,243.0,0.0,0.0,0.0,0.0,0.0
262,32.55,-83.84,160.0,0.0,0.0,0.0,0.0,0.0
263,32.23,-83.47,682.0,0.0,0.0,0.0,539.0,0.0
264,33.32,-83.34,0.0,0.0,0.0,0.0,0.0,0.0
265,33.64,-84.03,14.0,0.0,0.0,0.0,0.0,0.0
266,32.4,-82.57,706.0,0.0,0.0,0.0,0.0,0.0
267,32.65,-83.44,612.0,0.0,0.0,0.0,0.0,0.0
268,32.96,-82.77,3408.0,0.0,0.0,0.0,855.0,0.02
269,32.11,-82.76,356.0,0.0,0.0,0.0,76.0,0.0
270,32.79,-83.16,143.0,0.0,0.0,0.0,0.0,0.0
271,32.38,-81.74,4351.0,0.0,0.0,0.0,2945.0,0.02
272,33.05,-81.96,11243.0,0.0,0.0,0.0,1738.0,0.06
273,32.41,-82.09,89.0,0.0,0.0,0.0,576.0,0.0
274,32.34,-81.34,240.0,0.0,0.0,0.0,0.0,0.0
275,32.61,-82.29,1329.0,0.0,0.0,0.0,1227.0,0.01
276,33.04,-82.44,12071.0,0.0,0.0,0.0,2862.0,0.07
277,32.78,-81.96,1319.0,0.0,0.0,0.0,0.0,0.01
278,33.39,-82.09,0.0,0.0,0.0,0.0,0.0,0.0
279,32.76,-81.63,10332.0,0.0,0.0,0.0,1737.0,0.05
280,33.98,-83.7,13.0,0.0,0.0,0.0,0.0,0.0
281,34.24,-84.47,158.0,0.0,0.0,0.0,0.0,0.0
282,33.95,-83.36,0.0,0.0,0.0,0.0,0.0,0.0
283,34.41,-84.14,262.0,0.0,0.0,0.0,0.0,0.0
284,34.89,-84.27,611.0,0.0,0.0,0.0,0.0,0.0
285,34.24,-84.13,0.0,0.0,0.0,0.0,0.0,0.0
286,34.06,-84.3,9.0,0.0,0.0,0.0,0.0,0.0
287,34.69,-84.45,322.0,0.0,0.0,0.0,0.0,0.0
288,33.96,-84.02,0.0,0.0,0.0,0.0,0.0,0.0
289,34.29,-83.82,894.0,0.0,0.0,0.0,0.0,0.0
290,34.13,-83.58,34.0,0.0,0.0,0.0,469.0,0.0
291,34.55,-83.99,501.0,0.0,0.0,0.0,0.0,0.0
292,33.83,-83.43,149.0,0.0,0.0,0.0,0.0,0.0
293,34.46,-84.47,15.0,0.0,0.0,0.0,0.0,0.0
294,34.9,-83.72,0.0,0.0,0.0,0.0,0.0,0.0
295,34.82,-83.99,173.0,0.0,0.0,0.0,0.0,0.0
296,33.76,-83.74,154.0,0.0,0.0,0.0,578.0,0.0
297,34.63,-83.76,55.0,0.0,0.0,0.0,0.0,0.0
298,34.34,-83.5,199.0,0.0,0.0,0.0,0.0,0.0
299,34.12,-82.84,0.0,0.0,0.0,0.0,1675.0,0.0
300,34.37,-83.22,221.0,0.0,0.0,0.0,496.0,0.0
301,34.63,-83.5,184.0,0.0,0.0,0.0,0.0,0.0
302,34.34,-82.95,0.0,0.0,0.0,0.0,1820.0,0.0
303,34.13,-83.18,0.0,0.0,0.0,0.0,1020.0,0.0
304,33.87,-83.1,0.0,0.0,0.0,0.0,599.0,0.0
305,34.88,-83.43,57.0,0.0,0.0,0.0,0.0,0.0
306,34.55,-83.3,155.0,0.0,0.0,0.0,0.0,0.0
307,34.24,-84.84,770.0,0.0,0.0,0.0,0.0,0.0
308,34.46,-85.37,497.0,0.0,0.0,0.0,0.0,0.0
309,34.87,-85.5,58.0,0.0,0.0,0.0,0.0,0.0
310,34.24,-85.22,2304.0,0.0,0.0,0.0,0.0,0.01
311,34.5,-84.9,2823.0,0.0,0.0,0.0,0.0,0.01
312,34.79,-84.74,748.0,0.0,0.0,0.0,0.0,0.0
313,33.89,-84.86,14.0,0.0,0.0,0.0,0.0,0.0
314,34.0,-85.16,781.0,0.0,0.0,0.0,0.0,0.0
315,34.74,-85.32,0.0,0.0,0.0,0.0,0.0,0.0
316,34.8,-84.97,325.0,0.0,0.0,0.0,0.0,0.0
317,31.3,-82.88,2802.0,0.0,0.0,0.0,0.0,0.02
318,31.75,-83.24,1591.0,0.0,0.0,0.0,0.0,0.01
319,31.26,-83.24,2882.0,0.0,0.0,0.0,0.0,0.01
320,30.83,-83.6,1663.0,0.0,0.0,0.0,1533.0,0.01
321,30.89,-82.69,343.0,0.0,0.0,0.0,0.0,0.0
322,31.53,-82.84,3601.0,0.0,0.0,0.0,0.0,0.02
323,31.18,-83.77,4543.0,0.0,0.0,0.0,1449.0,0.02
324,31.15,-83.43,1855.0,0.0,0.0,0.0,0.0,0.01
325,31.92,-83.78,920.0,0.0,0.0,0.0,729.0,0.01
326,32.15,-83.83,2710.0,0.0,0.0,0.0,4456.0,0.02
327,30.7,-82.91,56.0,0.0,0.0,0.0,0.0,0.0
328,31.57,-83.26,5304.0,0.0,0.0,0.0,827.0,0.03
329,31.77,-82.68,2437.0,0.0,0.0,0.0,0.0,0.01
330,31.03,-83.08,1671.0,0.0,0.0,0.0,0.0,0.01
331,30.82,-83.26,925.0,0.0,0.0,0.0,0.0,0.0
332,31.92,-82.93,639.0,0.0,0.0,0.0,0.0,0.0
333,31.44,-83.51,2086.0,0.0,0.0,0.0,920.0,0.01
334,31.7,-83.62,2862.0,0.0,0.0,0.0,1667.0,0.01
335,31.96,-83.44,588.0,0.0,0.0,0.0,0.0,0.0
336,31.52,-83.87,6564.0,0.0,0.0,0.0,0.0,0.03
337,31.78,-82.3,4000.0,0.0,0.0,0.0,1672.0,0.02
338,31.56,-82.44,1411.0,0.0,0.0,0.0,0.0,0.01
339,31.19,-81.99,599.0,0.0,0.0,0.0,0.0,0.0
340,32.0,-81.42,429.0,0.0,0.0,0.0,0.0,0.0
341,30.88,-82.12,105.0,0.0,0.0,0.0,0.0,0.0
342,31.97,-81.06,20.0,0.0,0.0,0.0,0.0,0.0
343,32.16,-81.9,878.0,0.0,0.0,0.0,0.0,0.0
344,31.8,-81.48,127.0,0.0,0.0,0.0,0.0,0.0
345,31.77,-81.75,304.0,0.0,0.0,0.0,0.0,0.0
346,31.34,-82.24,4582.0,0.0,0.0,0.0,530.0,0.02
347,32.03,-82.06,1830.0,0.0,0.0,0.0,0.0,0.01
348,32.13,-82.33,4186.0,0.0,0.0,0.0,644.0,0.02
349,31.17,-82.48,1925.0,0.0,0.0,0.0,0.0,0.01
350,31.57,-81.91,1623.0,0.0,0.0,0.0,0.0,0.01
351,31.34,-84.46,6182.0,0.0,0.0,0.0,0.0,0.03
352,31.53,-84.61,9331.0,0.0,0.0,0.0,0.0,0.05
353,31.57,-84.98,1623.0,0.0,0.0,0.0,0.0,0.01
354,30.87,-84.57,11396.0,0.0,0.0,0.0,0.0,0.06
355,31.54,-84.2,890.0,0.0,0.0,0.0,0.0,0.01
356,31.35,-84.93,6131.0,0.0,0.0,0.0,2257.0,0.03
357,30.87,-84.23,6258.0,0.0,0.0,0.0,240.0,0.03
358,31.76,-84.13,5349.0,0.0,0.0,0.0,1560.0,0.03
359,31.16,-84.74,6261.0,0.0,0.0,0.0,873.0,0.04
360,33.22,-82.7,6638.0,0.0,0.0,0.0,0.0,0.04
361,31.76,-84.75,9264.0,0.0,0.0,0.0,2260.0,0.05
362,30.95,-84.88,11498.0,0.0,0.0,0.0,0.0,0.06
363,32.07,-84.85,0.0,0.0,0.0,0.0,0.0,0.0
364,32.05,-84.19,8245.0,0.0,0.0,0.0,2523.0,0.04
365,31.76,-84.44,12269.0,0.0,0.0,0.0,1601.0,0.06
366,30.87,-83.95,3349.0,0.0,0.0,0.0,355.0,0.01
367,32.05,-84.55,2260.0,0.0,0.0,0.0,0.0,0.01
368,33.56,-85.06,287.0,0.0,0.0,0.0,0.0,0.0
369,33.52,-84.36,0.0,0.0,0.0,0.0,0.0,0.0
370,33.35,-84.75,578.0,0.0,0.0,0.0,474.0,0.0
371,33.7,-84.76,26.0,0.0,0.0,0.0,0.0,0.0
372,33.39,-84.5,121.0,0.0,0.0,0.0,0.0,0.0
373,33.78,-85.2,1696.0,0.0,0.0,0.0,0.0,0.0
374,32.73,-84.91,59.0,0.0,0.0,0.0,0.0,0.0
375,33.28,-85.11,600.0,0.0,0.0,0.0,0.0,0.0
376,33.06,-84.14,0.0,0.0,0.0,0.0,0.0,0.0
377,32.84,-83.63,3794.0,0.0,0.0,0.0,4125.0,0.02
378,32.35,-84.53,803.0,0.0,0.0,0.0,0.0,0.0
379,33.04,-84.67,110.0,0.0,0.0,0.0,0.0,0.0
380,33.08,-84.4,0.0,0.0,0.0,0.0,0.0,0.0
381,32.25,-84.32,190.0,0.0,0.0,0.0,0.0,0.0
