Program,Year,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2017,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,SANTA BARBARA,83,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,COLORADO,8,EAST CENTRAL,60,ADAMS,1,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,COLORADO,8,EAST CENTRAL,60,LINCOLN,73,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,COLORADO,8,EAST CENTRAL,60,WASHINGTON,121,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,COLORADO,8,EAST CENTRAL,60,YUMA,125,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"57,762",29.8
CENSUS,2017,COUNTY,COLORADO,8,NORTHEAST,20,BOULDER,13,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"75,693",29.8
CENSUS,2017,COUNTY,COLORADO,8,NORTHEAST,20,LARIMER,69,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,07,098",29.8
CENSUS,2017,COUNTY,COLORADO,8,NORTHEAST,20,LOGAN,75,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"15,888",29.8
CENSUS,2017,COUNTY,COLORADO,8,NORTHEAST,20,WELD,123,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"7,15,977",29.8
CENSUS,2017,COUNTY,COLORADO,8,SAN LUIS VALLEY,80,ALAMOSA,3,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"12,81,067",29.8
CENSUS,2017,COUNTY,COLORADO,8,SAN LUIS VALLEY,80,CONEJOS,21,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"6,45,537",29.8
CENSUS,2017,COUNTY,COLORADO,8,SAN LUIS VALLEY,80,COSTILLA,23,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"5,74,290",29.8
CENSUS,2017,COUNTY,COLORADO,8,SAN LUIS VALLEY,80,RIO GRANDE,105,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"24,57,795",29.8
CENSUS,2017,COUNTY,COLORADO,8,SAN LUIS VALLEY,80,SAGUACHE,109,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"19,64,846",29.8
CENSUS,2017,COUNTY,COLORADO,8,SOUTHEAST,90,BACA,9,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,COLORADO,8,SOUTHEAST,90,CROWLEY,25,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,COLORADO,8,SOUTHWEST,70,ARCHULETA,7,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"7,208",29.8
CENSUS,2017,COUNTY,COLORADO,8,SOUTHWEST,70,DELTA,29,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,COLORADO,8,SOUTHWEST,70,DOLORES,33,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,COLORADO,8,SOUTHWEST,70,GARFIELD,45,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,COLORADO,8,SOUTHWEST,70,LA PLATA,67,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"7,340",29.8
CENSUS,2017,COUNTY,COLORADO,8,SOUTHWEST,70,MONTEZUMA,83,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"13,500",29.8
CENSUS,2017,COUNTY,COLORADO,8,SOUTHWEST,70,MONTROSE,85,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"9,745",29.8
CENSUS,2017,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,HARTFORD,3,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,738,(H)
CENSUS,2017,COUNTY,DELAWARE,10,CENTRAL,50,KENT,1,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"7,08,200",11
CENSUS,2017,COUNTY,DELAWARE,10,NORTHERN,20,NEW CASTLE,3,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,83,521",11
CENSUS,2017,COUNTY,DELAWARE,10,SOUTHERN,80,SUSSEX,5,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"6,33,319",11
CENSUS,2017,COUNTY,GEORGIA,13,CENTRAL,50,LAURENS,175,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"12,000",(H)
CENSUS,2017,COUNTY,GEORGIA,13,WEST CENTRAL,40,COWETA,77,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,GEORGIA,13,WEST CENTRAL,40,UPSON,293,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,IDAHO,16,EAST,90,BANNOCK,5,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"4,97,661",17.2
CENSUS,2017,COUNTY,IDAHO,16,EAST,90,BEAR LAKE,7,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"5,95,625",17.2
CENSUS,2017,COUNTY,IDAHO,16,EAST,90,BINGHAM,11,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"23,36,235",17.2
CENSUS,2017,COUNTY,IDAHO,16,EAST,90,BONNEVILLE,19,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"66,93,189",17.2
CENSUS,2017,COUNTY,IDAHO,16,EAST,90,BUTTE,23,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"11,57,508",17.2
CENSUS,2017,COUNTY,IDAHO,16,EAST,90,CARIBOU,29,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"35,38,789",17.2
CENSUS,2017,COUNTY,IDAHO,16,EAST,90,CLARK,33,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"3,35,759",17.2
CENSUS,2017,COUNTY,IDAHO,16,EAST,90,CUSTER,37,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"3,40,015",17.2
CENSUS,2017,COUNTY,IDAHO,16,EAST,90,FRANKLIN,41,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"4,15,587",17.2
CENSUS,2017,COUNTY,IDAHO,16,EAST,90,FREMONT,43,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"52,24,941",17.2
CENSUS,2017,COUNTY,IDAHO,16,EAST,90,JEFFERSON,51,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"40,42,152",17.2
CENSUS,2017,COUNTY,IDAHO,16,EAST,90,LEMHI,59,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,IDAHO,16,EAST,90,MADISON,65,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"37,10,296",17.2
CENSUS,2017,COUNTY,IDAHO,16,EAST,90,ONEIDA,71,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"57,770",17.2
CENSUS,2017,COUNTY,IDAHO,16,EAST,90,POWER,77,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"2,31,839",17.2
CENSUS,2017,COUNTY,IDAHO,16,EAST,90,TETON,81,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"23,81,571",17.2
CENSUS,2017,COUNTY,IDAHO,16,NORTH,10,BENEWAH,9,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"70,061",17.2
CENSUS,2017,COUNTY,IDAHO,16,NORTH,10,BONNER,17,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"8,502",17.2
CENSUS,2017,COUNTY,IDAHO,16,NORTH,10,BOUNDARY,21,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,25,718",17.2
CENSUS,2017,COUNTY,IDAHO,16,NORTH,10,CLEARWATER,35,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,IDAHO,16,NORTH,10,IDAHO,49,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"2,83,709",17.2
CENSUS,2017,COUNTY,IDAHO,16,NORTH,10,KOOTENAI,55,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,IDAHO,16,NORTH,10,LATAH,57,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"2,49,526",17.2
CENSUS,2017,COUNTY,IDAHO,16,NORTH,10,LEWIS,61,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,77,406",17.2
CENSUS,2017,COUNTY,IDAHO,16,NORTH,10,NEZ PERCE,69,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"3,61,312",17.2
CENSUS,2017,COUNTY,IDAHO,16,SOUTH CENTRAL,80,BLAINE,13,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"8,85,940",17.2
CENSUS,2017,COUNTY,IDAHO,16,SOUTH CENTRAL,80,CAMAS,25,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"3,91,952",17.2
CENSUS,2017,COUNTY,IDAHO,16,SOUTH CENTRAL,80,CASSIA,31,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"44,45,401",17.2
CENSUS,2017,COUNTY,IDAHO,16,SOUTH CENTRAL,80,GOODING,47,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,27,293",17.2
CENSUS,2017,COUNTY,IDAHO,16,SOUTH CENTRAL,80,JEROME,53,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"18,03,055",17.2
CENSUS,2017,COUNTY,IDAHO,16,SOUTH CENTRAL,80,LINCOLN,63,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"3,48,117",17.2
CENSUS,2017,COUNTY,IDAHO,16,SOUTH CENTRAL,80,MINIDOKA,67,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"62,50,558",17.2
CENSUS,2017,COUNTY,IDAHO,16,SOUTH CENTRAL,80,TWIN FALLS,83,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"29,83,634",17.2
CENSUS,2017,COUNTY,IDAHO,16,SOUTHWEST,70,ADA,1,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"70,686",17.2
CENSUS,2017,COUNTY,IDAHO,16,SOUTHWEST,70,CANYON,27,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"45,612",17.2
CENSUS,2017,COUNTY,IDAHO,16,SOUTHWEST,70,GEM,45,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"65,129",17.2
CENSUS,2017,COUNTY,IDAHO,16,SOUTHWEST,70,OWYHEE,73,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"83,002",17.2
CENSUS,2017,COUNTY,IDAHO,16,SOUTHWEST,70,PAYETTE,75,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,IDAHO,16,SOUTHWEST,70,WASHINGTON,87,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"64,797",17.2
CENSUS,2017,COUNTY,ILLINOIS,17,CENTRAL,40,WOODFORD,203,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"6,880",67.5
CENSUS,2017,COUNTY,ILLINOIS,17,EAST,50,FORD,53,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,ILLINOIS,17,EAST SOUTHEAST,70,COLES,29,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,ILLINOIS,17,EAST SOUTHEAST,70,DOUGLAS,41,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,ILLINOIS,17,EAST SOUTHEAST,70,LAWRENCE,101,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,ILLINOIS,17,NORTHEAST,20,BOONE,7,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,ILLINOIS,17,NORTHEAST,20,KANE,89,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,ILLINOIS,17,NORTHEAST,20,KENDALL,93,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,ILLINOIS,17,NORTHWEST,10,BUREAU,11,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,ILLINOIS,17,NORTHWEST,10,JO DAVIESS,85,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"4,420",67.5
CENSUS,2017,COUNTY,ILLINOIS,17,NORTHWEST,10,ROCK ISLAND,161,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,ILLINOIS,17,SOUTHEAST,90,JEFFERSON,81,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,ILLINOIS,17,SOUTHWEST,80,CLINTON,27,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"2,500",67.5
CENSUS,2017,COUNTY,ILLINOIS,17,SOUTHWEST,80,MONROE,133,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,ILLINOIS,17,SOUTHWEST,80,RANDOLPH,157,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,ILLINOIS,17,WEST,30,BROWN,9,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,ILLINOIS,17,WEST SOUTHWEST,60,GREENE,61,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,INDIANA,18,CENTRAL,50,BARTHOLOMEW,5,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,COUNTY,INDIANA,18,CENTRAL,50,DECATUR,31,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"34,340",(H)
