,Program,Year,Period,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,"CORN, GRAIN - ACRES HARVESTED",CORN-production in BU,CORN Production in Kg,BARLEY - ACRES HARVESTED,BARLEY PRODUCTION IN BU,BARLEY PRODUCTION IN Kg,RICE - ACRES HARVESTED,"RICE - PRODUCTION, MEASURED IN CWT",Rice Production in Kg,"SUGARCANE, SUGAR - ACRES HARVESTED","SUGARCANE, SUGAR - PRODUCTION, MEASURED IN TONS",SUGAR PRODUCTION in KG,WHEAT - ACRES HARVESTED,"WHEAT - PRODUCTION, MEASURED IN BU",Wheat Production measured in Kg,CATTLE,precipitation_cm,Latitude,Longitude,Corn-LUC,Corn-Farm,Corn-EUTROPHYING,Corn Total,BARLEY-LUC,Barley-Farm,BARLEY-EUTROPHYING,Barley-Total,RICE-LUC,Rice-Farm,Rice- Eutrophication,Rice-total,Sugarcane- LUC,Sugarcane-Farm,Sugarcane-Eutrophication,Sugarcane Total,Wheat-LUC,Wheat-Farm,Wheat-Eutrophication,Wheat-total,Cattle,Total
10,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,BLACK BELT,40,PERRY,105,6683,956466,33704972.71,0,0,0,0,0,0,0,0,0,0,0,0,0,148,32.6421387,-87.2876639,10111491.81,26963978.17,0,37075469.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37075469.98
11,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,552,60790,2142183.09,0,0,0,0,0,0,0,0,0,988,45580,1606196.829,10812,148,32.5234698,-88.1837986,642654.927,1713746.472,0,2356401.399,0,0,0,0,0,0,0,0,0,0,0,0,160619.6829,1284957.463,0,1445577.146,637908,4439886.545
12,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,6658,1174130,41375249.73,0,0,0,0,0,0,0,0,0,2172,103107,3633394.832,11212,148,30.5677527,-87.7324392,12412574.92,33100199.78,0,45512774.7,0,0,0,0,0,0,0,0,0,0,0,0,363339.4832,2906715.866,0,3270055.349,661508,49444338.05
13,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BUTLER,13,2882,391545,13797681.82,0,0,0,0,0,0,0,0,0,0,0,0,0,148,32.0895908,-88.2219652,4139304.546,11038145.46,0,15177450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15177450
14,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,31.9908095,-88.2821326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CLARKE,25,85,7590,267464.5443,0,0,0,0,0,0,0,0,0,0,0,0,3734,148,31.659134,-87.8192486,80239.36329,213971.6354,0,294210.9987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220306,514516.9987
16,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,1367,167544,5904094.811,0,0,0,0,0,0,0,0,0,0,0,0,6851,148,31.3966783,-86.9437104,1771228.443,4723275.849,0,6494504.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404209,6898713.292
17,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53,2614,346719,12218055.25,0,0,0,0,0,0,0,0,0,327,13189,464768.0995,0,148,31.1168422,-87.1070947,3665416.575,9774444.2,0,13439860.78,0,0,0,0,0,0,0,0,0,0,0,0,46476.80995,371814.4796,0,418291.2896,0,13858152.06
18,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,0,97610,3439685.662,0,0,0,0,0,0,0,0,0,0,0,0,0,148,30.6867339,-88.0848929,1031905.699,2751748.53,0,3783654.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3783654.228
19,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MONROE,99,1317,197196,6949003.727,0,0,0,0,0,0,0,0,0,343,9725,342699.9596,0,148,31.5593935,-87.3781004,2084701.118,5559202.982,0,7643904.1,0,0,0,0,0,0,0,0,0,0,0,0,34269.99596,274159.9677,0,308429.9636,0,7952334.063
20,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WASHINGTON,129,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6884,148,31.3991238,-88.2019828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406156,406156
21,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WILCOX,131,769,94754,3339042.877,0,0,0,0,0,0,0,0,0,0,2955,104131.453,0,148,31.9523021,-87.3005169,1001712.863,2671234.302,0,3672947.165,0,0,0,0,0,0,0,0,0,0,0,0,10413.1453,83305.1624,0,93718.3077,0,3766665.472
22,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,301,29718,1047234.694,0,0,0,0,0,0,0,0,0,0,0,0,21858,148,33.9510169,-86.5702002,314170.4082,837787.7552,0,1151958.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1289622,2441580.163
23,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,416,49075,1729357.38,0,0,0,0,0,0,0,0,0,328,0,0,11417,148,33.7514505,-85.8315666,518807.214,1383485.904,0,1902293.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673603,2575896.118
24,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,4486,763652,26910386.59,0,0,0,0,0,0,0,0,0,1152,65796,2318589.876,0,148,34.1142554,-85.6004514,8073115.977,21528309.27,0,29601425.25,0,0,0,0,0,0,0,0,0,0,0,0,231858.9876,1854871.901,0,2086730.888,0,31688156.14
25,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,492,58050,2045628.037,0,0,0,0,0,0,0,0,0,0,0,0,0,148,33.6506958,-85.5017359,613688.4111,1636502.43,0,2250190.841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250190.841
26,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,4283,693977,24455104.36,0,0,0,0,0,0,0,0,0,663,53735,1893571.448,32917,148,34.1335332,-86.8779268,7336531.308,19564083.49,0,26900614.8,0,0,0,0,0,0,0,0,0,0,0,0,189357.1448,1514857.158,0,1704214.303,1942103,30546932.1
27,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,55,1068,143720,5064559.198,0,0,0,0,0,0,0,0,0,0,0,0,8872,148,34.0371404,-86.022147,1519367.759,4051647.358,0,5571015.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523448,6094463.118
28,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,19535,3074059,108326981.5,0,0,0,0,0,0,0,0,0,2935,220562,7772399.846,0,148,34.7692447,-85.9867941,32498094.45,86661585.2,0,119159679.7,0,0,0,0,0,0,0,0,0,0,0,0,777239.9846,6217919.877,0,6995159.861,0,126154839.5
29,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,3966,590907,20823013.37,0,0,0,0,0,0,0,0,0,0,0,0,22875,148,34.3396046,-86.3301801,6246904.011,16658410.7,0,22905314.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1349625,24254939.71
30,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,55,5050,177957.3055,0,0,0,0,0,0,0,0,0,0,0,0,0,148,32.5348561,-86.2333022,53387.19165,142365.8444,0,195753.0361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195753.0361
31,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,COLBERT,33,22148,3880246,136736262,0,0,0,0,0,0,0,0,0,19814,1620271,57096843.84,9020,148,34.6473396,-87.7921769,41020878.6,109389009.6,0,150409888.2,0,0,0,0,0,0,0,0,0,0,0,0,5709684.384,45677475.07,0,51387159.46,532180,202329227.7
32,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,FRANKLIN,59,1101,198659,7000558.487,0,0,0,0,0,0,0,0,0,580,29509,1039869.728,15552,148,34.440962,-87.8339064,2100167.546,5600446.79,0,7700614.336,0,0,0,0,0,0,0,0,0,0,0,0,103986.9728,831895.7824,0,935882.7552,917568,9554065.091
33,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,15885,2561697,90271820.93,0,0,0,0,0,0,0,0,0,7319,593775,20924079.03,16372,148,34.9049555,-87.6747398,27081546.28,72217456.74,0,99299003.02,0,0,0,0,0,0,0,0,0,0,0,0,2092407.903,16739263.22,0,18831671.13,965948,119096622.2
34,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAWRENCE,79,22925,4067356,143329844.4,0,0,0,0,0,0,0,0,0,13349,1093973,38550591.56,16607,148,34.4776367,-87.3017331,42998953.32,114663875.5,0,157662828.8,0,0,0,0,0,0,0,0,0,0,0,0,3855059.156,30840473.25,0,34695532.4,979813,193338174.2
35,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,16886,3212945,113221195,270,"10,800",380581.9603,0,0,0,0,0,0,24282,1921986,67728999.96,0,148,34.8342463,-86.9901321,33966358.5,90576956,0,124543314.5,0,76116.39206,0,76116.39206,0,0,0,0,0,0,0,0,6772899.996,54183199.97,0,60956099.96,0,185575530.9
36,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MADISON,89,25499,4333571,152711013.6,0,0,0,0,0,0,0,0,0,19052,1444265,50894556.01,9177,148,34.7736807,-86.5675095,45813304.08,122168810.9,0,167982115,0,0,0,0,0,0,0,0,0,0,0,0,5089455.601,40715644.81,0,45805100.41,541443,214328658.4
37,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MARION,93,1197,161622,5695409.036,0,0,0,0,0,0,0,0,0,0,0,0,8754,148,34.1128132,-87.8544031,1708622.711,4556327.229,0,6264949.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516486,6781435.94
38,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MORGAN,103,1920,334768,11796913.12,0,0,0,0,0,0,0,0,0,872,66200,2332826.46,15756,148,34.4296848,-86.8529584,3539073.936,9437530.496,0,12976604.43,0,0,0,0,0,0,0,0,0,0,0,0,233282.646,1866261.168,0,2099543.814,929604,16005752.25
39,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,WINSTON,133,70,2200,77525.95488,0,0,0,0,0,0,0,0,0,0,0,0,0,148,34.1328863,-87.361354,23257.78646,62020.7639,0,85278.55037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85278.55037
40,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,BIBB,7,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,32.971079,-87.1227088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHAMBERS,17,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10607,148,32.8901658,-85.3866953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625813,625813
42,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHILTON,21,486,57090,2011798.529,0,0,0,0,0,0,0,0,0,191,0,0,7273,148,32.8522565,-86.7032845,603539.5587,1609438.823,0,2212978.382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429107,2642085.382
43,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CLAY,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,33.715158,-86.58666945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,COOSA,37,22,528,18606.22917,0,0,0,0,0,0,0,0,0,0,0,0,0,148,32.9181762,-86.2327497,5581.868751,14884.98334,0,20466.85209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20466.85209
45,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,FAYETTE,57,720,94323,3323854.837,0,0,0,0,0,0,0,0,0,55,3500,123336.7464,0,148,33.7303493,-87.7419088,997156.4511,2659083.87,0,3656240.321,0,0,0,0,0,0,0,0,0,0,0,0,12333.67464,98669.39712,0,111003.0718,0,3767243.392
46,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,JEFFERSON,73,114,11226,395593.8043,0,0,0,0,0,0,0,0,0,0,0,0,0,148,33.5228184,-86.9164513,118678.1413,316475.0434,0,435153.1847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435153.1847
47,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LAMAR,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,33.7490016,-88.1003689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LEE,81,210,21097,743438.6682,0,0,0,0,0,0,0,0,0,0,0,0,0,148,32.5814796,-85.3077038,223031.6005,594750.9346,0,817782.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817782.535
49,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,PICKENS,107,3058,554710,19547464.74,0,0,0,0,0,0,0,0,0,0,0,0,6944,148,33.2948421,-88.1244034,5864239.422,15637971.79,0,21502211.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409696,21911907.21
50,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,RANDOLPH,111,1262,103064,3631879.552,0,0,0,0,0,0,0,0,0,0,0,0,15193,148,33.2651763,-85.4693961,1089563.866,2905503.642,0,3995067.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896387,4891454.507
51,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,SHELBY,117,1386,186596,6575469.58,0,0,0,0,0,0,0,0,0,578,38550,1358466.164,0,148,33.2503347,-86.6639746,1972640.874,5260375.664,0,7233016.538,0,0,0,0,0,0,0,0,0,0,0,0,135846.6164,1086772.931,0,1222619.548,0,8455636.086
52,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLADEGA,121,3257,583945,20577678.96,0,0,0,0,0,0,0,0,0,0,0,0,7260,148,33.3967079,-86.1597137,6173303.688,16462143.17,0,22635446.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428340,23063786.86
53,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLAPOOSA,123,375,54997,1938043.155,0,0,0,0,0,0,0,0,0,0,0,0,4295,148,32.8595687,-85.8023774,581412.9465,1550434.524,0,2131847.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253405,2385252.471
54,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TUSCALOOSA,125,1465,238412,8401417.252,0,0,0,0,0,0,0,0,0,200,10450,368248.2857,5990,148,33.2095614,-87.5675258,2520425.176,6721133.802,0,9241558.977,0,0,0,0,0,0,0,0,0,0,0,0,36824.82857,294598.6286,0,331423.4571,353410,9926392.434
55,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,WALKER,127,522,65260,2299701.734,0,0,0,0,0,0,0,0,0,0,0,0,6168,148,33.7804491,-87.2767248,689910.5202,1839761.387,0,2529671.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363912,2893583.907
56,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,WIREGRASS,60,BARBOUR,5,1065,0,0,0,0,0,0,0,0,0,0,0,342,15826,557693.5282,0,148,31.8589311,-85.4032078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55769.35282,446154.8226,0,501924.1754,0,501924.1754
57,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,WIREGRASS,60,COFFEE,31,2317,309437,10904272.23,0,0,0,0,0,0,0,0,0,0,0,0,15005,148,31.3629619,-85.9870669,3271281.669,8723417.784,0,11994699.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885295,12879994.45
58,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,WIREGRASS,60,COVINGTON,39,2246,264922,9335605.009,0,0,0,0,0,0,0,0,0,323,7988,281489.6944,0,148,31.196549,-86.4597236,2800681.503,7468484.007,0,10269165.51,0,0,0,0,0,0,0,0,0,0,0,0,28148.96944,225191.7555,0,253340.725,0,10522506.23
59,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,WIREGRASS,60,CRENSHAW,41,1481,181365,6391134.003,0,0,0,0,0,0,0,0,0,0,0,0,12081,148,31.6809362,-86.3244009,1917340.201,5112907.202,0,7030247.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712779,7743026.403
60,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,WIREGRASS,60,DALE,45,1925,242355,8540364.907,0,0,0,0,0,0,0,0,0,529,30820,1086068.15,0,148,31.3940969,-85.623763,2562109.472,6832291.926,0,9394401.398,0,0,0,0,0,0,0,0,0,0,0,0,108606.815,868854.52,0,977461.335,0,10371862.73
61,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,WIREGRASS,60,GENEVA,61,4009,540668,19052637.72,0,0,0,0,0,0,0,0,0,264,10292,362680.5126,0,148,31.0862933,-85.803014,5715791.316,15242110.18,0,20957901.49,0,0,0,0,0,0,0,0,0,0,0,0,36268.05126,290144.4101,0,326412.4613,0,21284313.95
62,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,WIREGRASS,60,HENRY,67,4819,758109,26715056.42,0,0,0,0,0,0,0,0,0,463,14472,509979.8268,0,148,31.4838041,-85.2447377,8014516.926,21372045.14,0,29386562.06,0,0,0,0,0,0,0,0,0,0,0,0,50997.98268,407983.8614,0,458981.8441,0,29845543.91
63,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,WIREGRASS,60,HOUSTON,69,1762,246980,8703345.607,0,0,0,0,0,0,0,0,0,0,0,0,0,148,31.1355603,-85.2654592,2611003.682,6962676.486,0,9573680.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9573680.168
64,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,WIREGRASS,60,PIKE,109,2140,282985,9972128.337,0,0,0,0,0,0,0,0,0,0,0,0,14067,148,31.7615793,-85.9259465,2991638.501,7977702.67,0,10969341.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829953,11799294.17
65,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,WIREGRASS,60,RUSSELL,113,2012,275915,9722988.109,0,0,0,0,0,0,0,0,0,0,0,0,0,148,32.2698458,-85.1959487,2916896.433,7778390.487,0,10695286.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10695286.92
66,CENSUS,2017,YEAR,COUNTY,ARIZONA,4,NORTHERN,10,NAVAJO,17,300,35376,1246617.354,0,0,0,0,0,0,0,0,0,0,0,0,19836,34.5,35.1819775,-110.3549451,373985.2062,997293.8832,0,1371279.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170324,2541603.089
67,CENSUS,2017,YEAR,COUNTY,ARIZONA,4,NORTHERN,10,YAVAPAI,25,139,15394,542470.2497,0,"3,537",124640.592,0,0,0,0,0,0,0,0,0,31882,34.5,34.5668857,-112.5515965,162741.0749,433976.1998,0,596717.2747,0,24928.1184,0,24928.1184,0,0,0,0,0,0,0,0,0,0,0,0,1881038,2502683.393
68,CENSUS,2017,YEAR,COUNTY,ARIZONA,4,SOUTHERN,80,COCHISE,3,23292,4901492,172724021.7,"1,780","2,12,668",7494222.624,0,0,0,0,0,0,880,84232,2968257.378,0,34.5,31.8514532,-109.8181858,51817206.51,138179217.4,0,189996423.9,0,1498844.525,0,1498844.525,0,0,0,0,0,0,0,0,296825.7378,2374605.902,0,2671431.64,0,194166700
69,CENSUS,2017,YEAR,COUNTY,ARIZONA,4,SOUTHERN,80,GRAHAM,9,5156,1215244,42824068.87,"1,459","2,33,628",8232833.539,0,0,0,0,0,0,1492,155292,5472345.721,8599,34.5,32.8397096,-109.8685752,12847220.66,34259255.1,0,47106475.76,0,1646566.708,0,1646566.708,0,0,0,0,0,0,0,0,547234.5721,4377876.577,0,4925111.149,507341,54185494.61
70,CENSUS,2017,YEAR,COUNTY,ARIZONA,4,SOUTHERN,80,GREENLEE,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6040,34.5,33.2312681,-109.2751297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356360,356360
71,CENSUS,2017,YEAR,COUNTY,ARIZONA,4,SOUTHERN,80,LAPAZ,12,0,0,0,0,0,0,0,0,0,0,0,0,3805,398465,14041536.19,0,34.5,34.2256824,-114.1927164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1404153.619,11233228.95,0,12637382.57,0,12637382.57
72,CENSUS,2017,YEAR,COUNTY,ARIZONA,4,SOUTHERN,80,MARICOPA,13,0,0,0,"3,579","4,99,350",17596629.8,0,0,0,0,0,0,14949,1516931,53455238.3,3034,34.5,33.34883,-112.49123,0,0,0,0,0,3519325.96,0,3519325.96,0,0,0,0,0,0,0,0,5345523.83,42764190.64,0,48109714.47,179006,51808046.43
73,CENSUS,2017,YEAR,COUNTY,ARIZONA,4,SOUTHERN,80,PIMA,19,0,0,0,102,0,0,0,0,0,0,0,0,4897,521513,18377633.32,11425,34.5,32.1112624,-111.6546163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1837763.332,14702106.66,0,16539869.99,674075,17213944.99
